date,prediction,confidence_interval
2025-03-01,150.36080263905586,"[138.369108372021, 162.35249690609072]"
2025-04-01,150.58425227349872,"[137.9750999819651, 163.19340456503235]"
2025-05-01,151.2535323269092,"[137.5697750866775, 164.9372895671409]"
2025-06-01,152.35302497541983,"[137.0615617076129, 167.64448824322676]"
2025-07-01,153.25895351031937,"[136.65715765207187, 169.86074936856687]"
2025-08-01,154.09436496391808,"[136.28439121264842, 171.90433871518775]"
2025-09-01,155.02399225902252,"[135.91231535334546, 174.13566916469958]"
2025-10-01,155.9435054348562,"[135.5513247402731, 176.33568612943932]"
2025-11-01,156.84870849476584,"[135.19722831363615, 178.50018867589554]"
2025-12-01,157.76801205013115,"[134.8454490118742, 180.6905750883881]"
2026-01-01,158.6933263833213,"[134.49412065333811, 182.8925321133045]"
2026-02-01,159.61942086788912,"[134.14138142855478, 185.09746030722346]"
2026-03-01,160.55043122346925,"[133.7857831885746, 187.31507925836388]"
2026-04-01,161.4863292939673,"[133.42605852258754, 189.54660006534704]"
2026-05-01,162.42600236391758,"[133.06106277614617, 191.79094195168898]"
2026-06-01,163.3698451094888,"[132.68991212589327, 194.04977809308434]"
2026-07-01,164.31803158119027,"[132.3118374162454, 196.32422574613514]"
2026-08-01,165.27039584911395,"[131.92614017222184, 198.61465152600607]"
2026-09-01,166.22695178456595,"[131.53223101500336, 200.92167255412855]"
2026-10-01,167.1877439233606,"[131.1295985074995, 203.24588933922172]"
2026-11-01,168.15275676521864,"[130.71778462974572, 205.58772890069156]"
2026-12-01,169.12198723452133,"[130.29638600150372, 207.94758846753894]"
2027-01-01,170.09544446057004,"[129.8650462268418, 210.32584269429827]"
2027-02-01,171.0731299012272,"[129.42344608628022, 212.72281371617416]"
