date,prediction,confidence_interval
2025-03-01,184.53470798446264,"[155.84369634685117, 213.2257196220741]"
2025-04-01,185.39865319024682,"[156.09138781938276, 214.70591856111088]"
2025-05-01,186.24978780311392,"[156.32085146999765, 216.1787241362302]"
2025-06-01,187.08783231886156,"[156.5316209357968, 217.6440437019263]"
2025-07-01,187.91250723328722,"[156.72323046934167, 219.10178399723276]"
2025-08-01,188.7235330421884,"[156.8952147942272, 220.55185129014959]"
2025-09-01,189.52063024136265,"[157.0471089868722, 221.99415149585312]"
2025-10-01,190.30351932660753,"[157.17844838137754, 223.42859027183752]"
2025-11-01,191.07192079372055,"[157.28876849469694, 224.85507309274416]"
2025-12-01,191.82555513849925,"[157.37760496969858, 226.27350530729993]"
2026-01-01,192.5641428567411,"[157.44449353398446, 227.68379217949777]"
2026-02-01,193.2874044442437,"[157.48896997257884, 229.08583891590854]"
2026-03-01,193.99506039680452,"[157.51057011281102, 230.479550680798]"
2026-04-01,194.68683121022113,"[157.5088298198994, 231.86483260054285]"
2026-05-01,195.36243738029106,"[157.48328500190573, 233.24158975867638]"
2026-06-01,196.0215994028118,"[157.43347162286494, 234.60972718275866]"
2026-07-01,196.6640377735809,"[157.35892572302038, 235.96914982414143]"
2026-08-01,197.2894729883959,"[157.25918344519866, 237.3197625315931]"
2026-09-01,197.8976255430543,"[157.13378106645624, 238.66147001965234]"
2026-10-01,198.48821593335364,"[156.98225503421003, 239.99417683249726]"
2026-11-01,199.06096465509145,"[156.8041420061427, 241.3177873040402]"
2026-12-01,199.61559220406525,"[156.5989788932372, 242.63220551489331]"
2027-01-01,200.15181907607257,"[156.36630290535712, 243.93733524678802]"
2027-02-01,200.66936576691094,"[156.10565159884243, 245.23307993497946]"
