date,prediction,confidence_interval
2025-03-01,249.71392539835514,"[236.6101201441079, 262.8177306526024]"
2025-04-01,253.9863890665081,"[239.06874456693095, 268.9040335660853]"
2025-05-01,254.3467219746405,"[238.70236311796364, 269.9910808313174]"
2025-06-01,254.6033926650036,"[236.3077292824069, 272.8990560476003]"
2025-07-01,256.52150794393316,"[236.9147373278381, 276.1282785600282]"
2025-08-01,257.2922998360266,"[236.52104013153533, 278.0635595405179]"
2025-09-01,258.2103443617818,"[235.9577172412045, 280.4629714823591]"
2025-10-01,259.48846868924517,"[236.08299311637126, 282.8939442621191]"
2025-11-01,260.44907846363566,"[235.92579566847817, 284.9723612587931]"
2025-12-01,261.49089583028154,"[235.8261463520475, 287.1556453085156]"
2026-01-01,262.60340146333994,"[235.9030008886554, 289.30380203802446]"
2026-02-01,263.6323556880051,"[235.92291782592204, 291.34179355008814]"
2026-03-01,264.69244225998824,"[235.99633296438844, 293.38855155558804]"
2026-04-01,265.76414066775527,"[236.1278660272494, 295.40041530826113]"
2026-05-01,266.81489542538577,"[236.2628719651323, 297.3669188856393]"
2026-06-01,267.87593198028617,"[236.43272621862278, 299.3191377419496]"
2026-07-01,268.93810537617753,"[236.63147842470738, 301.2447323276477]"
2026-08-01,269.99529339297675,"[236.8463087887767, 303.1442779971768]"
2026-09-01,271.05558906136037,"[237.0848891880834, 305.02628893463736]"
2026-10-01,272.11568272520606,"[237.34339611006357, 306.88796934034855]"
2026-11-01,273.1746601572158,"[237.61844484589406, 308.73087546853753]"
2026-12-01,274.23451862574785,"[237.91129773351176, 310.5577395179839]"
2027-01-01,275.2941992643528,"[238.2199906708754, 312.3684078578302]"
2027-02-01,276.3536497508966,"[238.5432558428346, 314.1640436589585]"
