date,prediction,confidence_interval
2025-03-01,121.80035624528053,"[105.42732326595427, 138.17338922460678]"
2025-04-01,126.19083421645247,"[102.38302079324234, 149.9986476396626]"
2025-05-01,130.0536621663606,"[94.7203629785718, 165.38696135414938]"
2025-06-01,133.57843007778303,"[84.52815428260509, 182.62870587296095]"
2025-07-01,137.93591972933362,"[74.91227802156831, 200.95956143709893]"
2025-08-01,141.93663103227905,"[62.80187532939145, 221.07138673516664]"
2025-09-01,146.2221069828372,"[50.0561331984094, 242.38808076726502]"
2025-10-01,150.686593473986,"[36.37367441346184, 264.99951253451013]"
2025-11-01,155.16402948628638,"[21.465891698311907, 288.86216727426086]"
2025-12-01,159.8602837558375,"[5.842980649950988, 313.877586861724]"
2026-01-01,164.65299093455369,"[-10.742814025070203, 340.0487958941776]"
2026-02-01,169.57529038646308,"[-28.175034361047977, 367.3256151339741]"
2026-03-01,174.65064891516312,"[-46.38343182400027, 395.6847296543265]"
2026-04-01,179.84626656874644,"[-65.41106847276544, 425.10360161025835]"
2026-05-01,185.18691231780406,"[-85.1849916977319, 455.55881633334]"
2026-06-01,190.66630677227795,"[-105.70090342153662, 487.0335169660925]"
2026-07-01,196.28345563106458,"[-126.94305617956488, 519.509967441694]"
2026-08-01,202.04541016293237,"[-148.8830031822342, 552.9738235080989]"
2026-09-01,207.94934723105368,"[-171.5127826384299, 587.4114771005372]"
2026-10-01,213.99844507701295,"[-194.8138223166814, 622.8107124707074]"
2026-11-01,220.19433283190577,"[-218.77203073765972, 659.1606964014712]"
2026-12-01,226.5375860683399,"[-243.3760421554002, 696.45121429208]"
2027-01-01,233.03043418903238,"[-268.61234943203647, 734.6732178101013]"
2027-02-01,239.67397769488127,"[-294.47034109296544, 773.818296482728]"
