date,prediction,confidence_interval
2025-03-01,279.4978254918712,"[266.2189691490413, 292.7766818347011]"
2025-04-01,281.609595718731,"[267.2959758185346, 295.9232156189274]"
2025-05-01,283.93862161184734,"[268.4764179917024, 299.40082523199226]"
2025-06-01,285.28803730135223,"[268.80576620131365, 301.7703084013908]"
2025-07-01,285.80746366560015,"[267.8817522746399, 303.7331750565604]"
2025-08-01,287.09672453490987,"[268.12854124725584, 306.0649078225639]"
2025-09-01,288.3656722854145,"[268.37714091120995, 308.3542036596191]"
2025-10-01,289.5492543036412,"[268.5992099888127, 310.4992986184697]"
2025-11-01,290.65290655823486,"[268.7440462487756, 312.56176686769413]"
2025-12-01,291.83519322917755,"[269.0329018177947, 314.6374846405604]"
2026-01-01,293.01123408493015,"[269.34499567979975, 316.67747249006055]"
2026-02-01,294.1801822153677,"[269.681746533256, 318.67861789747946]"
2026-03-01,295.34132473663954,"[270.03452581262127, 320.6481236606578]"
2026-04-01,296.5105103177068,"[270.42271861658884, 322.59830201882477]"
2026-05-01,297.67864643590843,"[270.8320630622415, 324.52522980957536]"
2026-06-01,298.8462364240085,"[271.2618943302696, 326.4305785177474]"
2026-07-01,300.01305188089134,"[271.70984741259633, 328.31625634918635]"
2026-08-01,301.1806918258493,"[272.17666076897933, 330.18472288271926]"
2026-09-01,302.34818371610083,"[272.6598061326616, 332.0365612995401]"
2026-10-01,303.51563923812324,"[273.15835919324246, 333.872919283004]"
2026-11-01,304.6830165578926,"[273.67122694318596, 335.6948061725992]"
2026-12-01,305.85047864735316,"[274.1977324069293, 337.50322488777704]"
2027-01-01,307.0179215264764,"[274.7369359835985, 339.2989070693543]"
2027-02-01,308.1853627942247,"[275.28813574765934, 341.0825898407901]"
