date,prediction,confidence_interval
2025-03-01,280.5569267529911,"[272.26471122113986, 288.84914228484234]"
2025-04-01,282.35103553188895,"[271.85705282303337, 292.84501824074454]"
2025-05-01,286.52655180818965,"[272.46008875744303, 300.5930148589363]"
2025-06-01,290.0491596814147,"[271.3533433408662, 308.7449760219632]"
2025-07-01,291.2552374344435,"[267.24084113836426, 315.2696337305227]"
2025-08-01,294.932092761908,"[266.0487883638834, 323.8153971599326]"
2025-09-01,298.0169959133688,"[263.23680331377705, 332.7971885129606]"
2025-10-01,300.546837921408,"[259.63482988095615, 341.4588459618598]"
2025-11-01,303.2972594274859,"[256.0113444157952, 350.5831744391767]"
2025-12-01,306.56357828532595,"[252.61827289002218, 360.5088836806297]"
2026-01-01,309.2546384688798,"[248.19850953462938, 370.3107674031303]"
2026-02-01,312.1106430033254,"[243.77723309828485, 380.4440529083659]"
2026-03-01,315.1066279790311,"[239.19826006307062, 391.01499589499156]"
2026-04-01,318.04728890398604,"[234.28039928016165, 401.81417852781044]"
2026-05-01,320.885637115121,"[229.00073423571192, 412.77053999453017]"
2026-06-01,323.86945484358415,"[223.6472542964445, 424.0916553907238]"
2026-07-01,326.82017870344043,"[217.99617118197003, 435.64418622491087]"
2026-08-01,329.7479225686158,"[212.09304653098712, 447.4027986062445]"
2026-09-01,332.70124012811385,"[205.99170341961565, 459.41077683661206]"
2026-10-01,335.68593709564254,"[199.69984451766027, 471.6720296736248]"
2026-11-01,338.6459761957962,"[193.16085046671012, 484.1311019248823]"
2026-12-01,341.62434842631785,"[186.4332265310412, 496.8154703215945]"
2027-01-01,344.61758655126715,"[179.51199406456064, 509.72317903797364]"
2027-02-01,347.61375338354753,"[172.38972755241426, 522.8377792146808]"
