date,prediction,confidence_interval
2025-03-01,117.91751811048046,"[104.79456437917617, 131.04047184178475]"
2025-04-01,115.93919069783732,"[102.3613993090064, 129.51698208666824]"
2025-05-01,117.77145285322982,"[103.68198062238781, 131.86092508407182]"
2025-06-01,115.81562890706458,"[101.30501241864863, 130.32624539548053]"
2025-07-01,117.6261122230411,"[102.64003587941092, 132.6121885666713]"
2025-08-01,115.69253237558924,"[100.31305671429327, 131.07200803688522]"
2025-09-01,117.48149209035884,"[101.65677284396591, 133.30621133675177]"
2025-10-01,115.56989997852803,"[99.37516899806289, 131.76463095899317]"
2025-11-01,117.33758835468667,"[100.72334657845443, 133.95183013091892]"
2025-12-01,115.44773058518089,"[98.48355826388529, 132.41190290647648]"
2026-01-01,117.19439694433318,"[99.83299220337298, 134.55580168529337]"
2026-02-01,115.32602305918192,"[97.63218858502576, 133.01985753333807]"
2026-03-01,117.05191381616027,"[98.98039550133697, 135.12343213098356]"
2026-04-01,115.20477625864814,"[96.81626857630117, 133.5932839409951]"
2026-05-01,116.9101349553341,"[98.16128935304567, 135.65898055762253]"
2026-06-01,115.08398903632622,"[96.03191750774005, 134.13606056491238]"
2026-07-01,116.76905637507866,"[97.37218417226693, 136.1659285778904]"
2026-08-01,114.96366023973714,"[95.2759386152434, 134.65138186423087]"
2026-09-01,116.62867411643164,"[96.61018163645909, 136.6471665964042]"
2026-10-01,114.84378871131877,"[94.54566029842229, 135.14191712421524]"
2026-11-01,116.48898424800295,"[95.87284224128473, 137.10512625472117]"
2026-12-01,114.7243732885664,"[93.83882187996483, 135.60992469716797]"
2027-01-01,116.34998286573561,"[95.15808879534399, 137.54187693612724]"
2027-02-01,114.60541280417141,"[93.1534895228146, 136.05733608552822]"
