date,prediction,confidence_interval
2025-03-01,135.286557279347,"[110.30114588422678, 160.2719686744672]"
2025-04-01,134.16415997848245,"[93.45334492941981, 174.87497502754508]"
2025-05-01,137.49788678489176,"[71.44098161422585, 203.55479195555768]"
2025-06-01,137.63026161784995,"[46.47106046596494, 228.78946276973497]"
2025-07-01,140.02546485809162,"[18.67499176903668, 261.37593794714655]"
2025-08-01,140.78439621219758,"[-11.95562465207911, 293.52441707647426]"
2025-09-01,142.68935458665047,"[-44.78694783495931, 330.16565700826027]"
2025-10-01,143.7549621705538,"[-80.09154206652485, 367.6014664076324]"
2025-11-01,145.3979341280533,"[-117.3538933289355, 408.1497615850421]"
2025-12-01,146.6073385119373,"[-156.77877912024783, 449.99345614412243]"
2026-01-01,148.10455067538726,"[-198.01961414409402, 494.22871549486854]"
2026-02-01,149.3748154940716,"[-241.18880690866425, 539.9384378968075]"
2026-03-01,150.78544914653327,"[-286.0645444853271, 587.6354427783936]"
2026-04-01,152.07434414002105,"[-332.69467676180943, 636.8433650418515]"
2026-05-01,153.42853372210064,"[-380.93702218749877, 687.7940896317]"
2026-06-01,154.71455571918904,"[-430.8017891927271, 740.2309006311052]"
2026-07-01,156.02764534753433,"[-482.19507230949966, 794.2503630045683]"
2026-08-01,157.29984517642538,"[-535.1073804380088, 849.7070707908596]"
2026-09-01,158.57964790185008,"[-589.4736760128179, 906.6329718165181]"
2026-10-01,159.83245036798624,"[-645.2752695666321, 964.9401703026045]"
2026-11-01,161.08294450767985,"[-702.4645363438079, 1024.6304253591677]"
2026-12-01,162.31351078499023,"[-761.0192937654085, 1085.646315335389]"
2027-01-01,163.53672205311204,"[-820.9026942691454, 1147.9761383753694]"
2027-02-01,164.74360664343908,"[-882.0919742169003, 1211.5791875037785]"
