date,prediction,confidence_interval
2025-03-01,138.7890738915711,"[115.14679837958876, 162.43134940355344]"
2025-04-01,144.47388623975164,"[116.7489521912874, 172.19882028821587]"
2025-05-01,143.46466908853517,"[110.27887297669783, 176.65046520037254]"
2025-06-01,145.10035668106065,"[107.85622744611806, 182.34448591600324]"
2025-07-01,145.70335103658968,"[104.51954680610586, 186.8871552670735]"
2025-08-01,146.72186097165473,"[101.99000362942203, 191.45371831388744]"
2025-09-01,147.5855933799219,"[99.49705618666479, 195.674130573179]"
2025-10-01,148.51912514796942,"[97.26964739637687, 199.76860289956198]"
2025-11-01,149.43401968516517,"[95.16939269061419, 203.69864667971615]"
2025-12-01,150.36510261707463,"[93.21395165582462, 207.51625357832464]"
2026-01-01,151.298659889511,"[91.3687871962367, 211.22853258278528]"
2026-02-01,152.24009198786925,"[89.62579299482002, 214.85439098091848]"
2026-03-01,153.1872722439808,"[87.97087501495093, 218.40366947301067]"
2026-04-01,154.1410381228453,"[86.3955062743854, 221.88656997130516]"
2026-05-01,155.10105983741084,"[84.89142454918466, 225.31069512563704]"
2026-06-01,156.06746725519386,"[83.45215713998249, 228.68277737040523]"
2026-07-01,157.04020923539997,"[82.07202098755458, 232.00839748324535]"
2026-08-01,158.01930591686698,"[80.74621592176008, 235.29239591197387]"
2026-09-01,159.00474936908083,"[79.47056180267936, 238.5389369354823]"
2026-10-01,159.99654271501484,"[78.2414275845688, 241.7516578454609]"
2026-11-01,160.99468472486694,"[77.05562326344241, 244.93374618629147]"
2026-12-01,161.99917588292345,"[75.91033484877568, 248.08801691707123]"
2027-01-01,163.01001599847623,"[74.80306394559375, 251.21696805135872]"
2027-02-01,164.02720514662468,"[73.73158200378197, 254.3228282894674]"
