date,prediction,confidence_interval
2025-03-01,149.79165648480594,"[141.18546468770225, 158.39784828190963]"
2025-04-01,148.9084792776049,"[139.54670844645884, 158.27025010875096]"
2025-05-01,148.6078068650541,"[138.0999450475422, 159.115668682566]"
2025-06-01,148.81952808957752,"[137.133708729621, 160.50534744953404]"
2025-07-01,148.62387528459755,"[136.03232814889233, 161.21542242030276]"
2025-08-01,148.55922688644966,"[135.06611856181453, 162.0523352110848]"
2025-09-01,148.50080197800625,"[134.16989384946217, 162.83171010655033]"
2025-10-01,148.41309173351038,"[133.30138221488116, 163.5248012521396]"
2025-11-01,148.3410659509762,"[132.48409919152715, 164.19803271042525]"
2025-12-01,148.26611570505202,"[131.70102409027024, 164.8312073198338]"
2026-01-01,148.18994277922502,"[130.94814015792485, 165.4317454005252]"
2026-02-01,148.11526319583118,"[130.2240446814418, 166.00648171022056]"
2026-03-01,148.04019066007177,"[129.52448220009833, 166.5558991200452]"
2026-04-01,147.96526236229565,"[128.84736089651489, 167.0831638280764]"
2026-05-01,147.89054533628303,"[128.19070165474434, 167.5903890178217]"
2026-06-01,147.81589457756448,"[127.55263958489431, 168.07914957023465]"
2026-07-01,147.7413791423756,"[126.93171479943994, 168.55104348531125]"
2026-08-01,147.66698803055573,"[126.3266089090975, 169.00736715201396]"
2026-09-01,147.592713484166,"[125.73616646761829, 169.44926050071373]"
2026-10-01,147.51856175776615,"[125.15937958510987, 169.8777439304224]"
2026-11-01,147.4445304736462,"[124.59534819752456, 170.29371274976785]"
2026-12-01,147.37061940097215,"[124.04327075322223, 170.69796804872206]"
2027-01-01,147.2968287954663,"[123.50242907511903, 171.09122851581355]"
2027-02-01,147.2231582106226,"[122.97217573661196, 171.47414068463326]"
