date,prediction,confidence_interval
2025-03-01,293.5498537017366,"[271.2431426795213, 315.85656472395186]"
2025-04-01,297.53501166384007,"[271.8712593695293, 323.19876395815083]"
2025-05-01,299.08828582348474,"[270.00647576133605, 328.17009588563343]"
2025-06-01,300.0384057789334,"[267.466150120483, 332.6106614373838]"
2025-07-01,301.39526076361847,"[265.9410199808509, 336.849501546386]"
2025-08-01,302.477835335671,"[264.1911597961523, 340.76451087518967]"
2025-09-01,303.74536999069227,"[262.9280994672536, 344.5626405141309]"
2025-10-01,304.8881774296376,"[261.6207886285515, 348.1555662307237]"
2025-11-01,306.1150942514312,"[260.5723812069456, 351.65780729591677]"
2025-12-01,307.2852921909657,"[259.5478122495272, 355.0227721324042]"
2026-01-01,308.49373831989095,"[258.6760510709992, 358.3114255687827]"
2026-02-01,309.67639190965815,"[257.85028478593426, 361.50249903338204]"
2026-03-01,310.8764386123234,"[257.1244759361509, 364.6284012884959]"
2026-04-01,312.0647563272209,"[256.44865054431006, 367.6808621101317]"
2026-05-01,313.26098344596477,"[255.84445065103847, 370.67751624089107]"
2026-06-01,314.4518768845613,"[255.2875700143539, 373.61618375476866]"
2026-07-01,315.64636707260524,"[254.78584124087774, 376.50689290433274]"
2026-08-01,316.83843180463566,"[254.3267875292614, 379.35007608000996]"
2026-09-01,318.03213213485265,"[253.91246993902084, 382.1517943306844]"
2026-10-01,319.22472950487867,"[253.53600763472858, 384.9134513750288]"
2026-11-01,320.4180706524368,"[253.19716301524016, 387.6389782896335]"
2026-12-01,321.6109102360928,"[252.89179955804997, 390.3300209141357]"
2027-01-01,322.80408804769615,"[252.6188611852583, 392.989314910134]"
2027-02-01,323.9970377764094,"[252.37562577974884, 395.61844977307]"
