date,prediction,confidence_interval
2025-03-01,218.53080915780433,"[205.07731001842384, 231.9843082971848]"
2025-04-01,213.9705699585403,"[194.75306630836232, 233.18807360871827]"
2025-05-01,213.39726672593832,"[192.26476945543914, 234.5297639964375]"
2025-06-01,209.9003418378386,"[188.4400769833797, 231.3606066922975]"
2025-07-01,212.27522008704284,"[190.77523951191475, 233.77520066217093]"
2025-08-01,211.11929772391017,"[189.60523738379274, 232.6333580640276]"
2025-09-01,214.4874855404833,"[192.91541037402342, 236.0595607069432]"
2025-10-01,213.3132051957062,"[191.62467514058355, 235.00173525082883]"
2025-11-01,216.25491245613327,"[194.38031502316593, 238.1295098891006]"
2025-12-01,214.6908777567486,"[192.63318993714316, 236.74856557635403]"
2026-01-01,217.43665257868292,"[195.1909414910617, 239.68236366630416]"
2026-02-01,215.85122571482452,"[193.45041427492572, 238.25203715472333]"
2026-03-01,218.6532235712054,"[196.09293632815132, 241.21351081425945]"
2026-04-01,217.13304600338716,"[194.43254362772112, 239.8335483790532]"
2026-05-01,219.96976614300291,"[197.11427955524158, 242.82525273076425]"
2026-06-01,218.45924878186898,"[195.46241495441143, 241.45608260932653]"
2026-07-01,221.28721522904067,"[198.13353311161222, 244.44089734646911]"
2026-08-01,219.7681816853629,"[196.4727057312359, 243.0636576394899]"
2026-09-01,222.58806079886972,"[199.13708906466724, 246.0390325330722]"
2026-10-01,221.06855603081632,"[197.47790412184375, 244.6592079397889]"
2026-11-01,223.88764110484604,"[200.14401944802415, 247.63126276166793]"
2026-12-01,222.37123398168546,"[198.49002751994814, 246.25244044342278]"
2027-01-01,225.18990483494676,"[201.15772777239047, 249.22208189750305]"
2027-02-01,223.6754926732116,"[199.50734037122174, 247.84364497520147]"
