date,prediction,confidence_interval
2025-03-01,221.030774828017,"[195.9724895188425, 246.0890601371915]"
2025-04-01,224.05074211384476,"[195.6763199624772, 252.42516426521232]"
2025-05-01,224.8489617083592,"[191.3694255083506, 258.32849790836786]"
2025-06-01,226.47834130675568,"[189.25435667383368, 263.7023259396777]"
2025-07-01,227.8168161809277,"[186.9107732491094, 268.722859112746]"
2025-08-01,229.27678964593198,"[185.03787823691863, 273.51570105494534]"
2025-09-01,230.70668711787016,"[183.3046772233957, 278.10869701234463]"
2025-10-01,232.16221827133785,"[181.77149128027088, 282.5529452624048]"
2025-11-01,233.6229075901652,"[180.3756502550629, 286.8701649252675]"
2025-12-01,235.09628063908517,"[179.10894968235647, 291.08361159581386]"
2026-01-01,236.5795714744175,"[177.9507016720455, 295.2084412767895]"
2026-02-01,238.07379669022706,"[176.88972295160863, 299.2578704288455]"
2026-03-01,239.57858264785298,"[175.91504321239069, 303.2421220833153]"
2026-04-01,241.09406667433043,"[175.01834441563005, 307.1697889330308]"
2026-05-01,242.62019829652436,"[174.192434728848, 311.0479618642007]"
2026-06-01,244.1569960653149,"[173.43134135367734, 314.88265077695246]"
2026-07-01,245.7044531625174,"[172.729938594291, 318.6789677307438]"
2026-08-01,247.2625720940853,"[172.08382987061742, 322.4413143175532]"
2026-09-01,248.83135193898124,"[171.4891976996316, 326.17350617833085]"
2026-10-01,250.410793035723,"[170.94270901451955, 329.87887705692646]"
2026-11-01,252.0008952598919,"[170.44143251387055, 333.56035800591326]"
2026-12-01,253.60165865721675,"[169.9827757376594, 337.22054157677405]"
2027-01-01,255.21308321089037,"[169.56443327134508, 340.86173315043567]"
2027-02-01,256.83516892709,"[169.1843449971829, 344.48599285699714]"
