date,prediction,confidence_interval
2025-03-01,346.37824085001745,"[332.8530092203126, 359.9034724797223]"
2025-04-01,352.890561577801,"[332.1879830991936, 373.5931400564084]"
2025-05-01,357.32675868101353,"[326.61182877094205, 388.041688591085]"
2025-06-01,363.50514651485986,"[320.8720633690222, 406.1382296606975]"
2025-07-01,369.10747791284587,"[314.0316167154757, 424.183339110216]"
2025-08-01,374.7562358697626,"[305.76957239932244, 443.7428993402027]"
2025-09-01,380.7338030058309,"[296.91317220116684, 464.55443381049497]"
2025-10-01,386.5862342375784,"[287.0332709593283, 486.1391975158285]"
2025-11-01,392.59719002015777,"[276.36374503976225, 508.8306350005533]"
2025-12-01,398.68589211397114,"[264.9652394584409, 532.4065447695014]"
2026-01-01,404.8216670079095,"[252.80326107780957, 556.8400729380095]"
2026-02-01,411.0583999261243,"[239.97029163208805, 582.1465082201605]"
2026-03-01,417.36142951108445,"[226.47182945868053, 608.2510295634884]"
2026-04-01,423.74117692864183,"[212.33547082361017, 635.1468830336735]"
2026-05-01,430.20092711610926,"[197.59296169236976, 662.8088925398488]"
2026-06-01,436.7342938186399,"[182.25907311412595, 691.2095145231539]"
2026-07-01,443.34550676753605,"[166.35675750741473, 720.3342560276574]"
2026-08-01,450.0332284285605,"[149.903753957783, 750.162702899338]"
2026-09-01,456.79711331963875,"[132.91585743178655, 780.678369207491]"
2026-10-01,463.6379170638594,"[115.40925516470725, 811.8665789630115]"
2026-11-01,470.5551241817653,"[97.39779347118429, 843.7124548923463]"
2026-12-01,477.5489055620277,"[78.8948102798982, 876.2030008441573]"
2027-01-01,484.6192966781698,"[59.91279816032642, 909.3257951960131]"
2027-02-01,491.7662082787428,"[40.46328167670276, 943.0691348807828]"
