date,prediction,confidence_interval
2025-03-01,326.37465419832887,"[315.50751426331567, 337.24179413334207]"
2025-04-01,325.01217924868513,"[310.4923923493907, 339.5319661479796]"
2025-05-01,325.5798779055106,"[308.1389105032256, 343.02084530779564]"
2025-06-01,324.80317981775454,"[305.1023663178767, 344.50399331763236]"
2025-07-01,325.31073146565296,"[303.3863704188706, 347.2350925124353]"
2025-08-01,324.59197239505613,"[300.82991431743335, 348.3540304726789]"
2025-09-01,325.0446812740717,"[299.4238928046656, 350.6654697434778]"
2025-10-01,324.3787942215744,"[297.1690064577871, 351.58858198536177]"
2025-11-01,324.78149866724925,"[295.9469102529804, 353.6160870815181]"
2025-12-01,324.1638616107289,"[293.909258102607, 354.41846511885075]"
2026-01-01,324.520974973489,"[292.8080778146712, 356.2338721323068]"
2026-02-01,323.94737178658437,"[290.9390733544368, 356.95567021873194]"
2026-03-01,324.26291975727315,"[289.92268475139673, 358.6031547631496]"
2026-04-01,323.72950456061614,"[288.1908056688574, 359.26820345237485]"
2026-05-01,324.0071592178138,"[287.23667120903616, 360.77764722659145]"
2026-06-01,323.51042386120764,"[285.61977849139305, 361.40106923102223]"
2026-07-01,323.7535347282551,"[284.713012092458, 362.7940573640522]"
2026-08-01,323.29027912881594,"[283.1946565960904, 363.3859016615415]"
2026-09-01,323.50190150317377,"[282.3250165402981, 364.6787864660494]"
2026-10-01,323.0692065886025,"[280.89245804844757, 365.2459551287575]"
2026-11-01,323.2521273831089,"[280.0526799192528, 366.45157484696506]"
2026-12-01,322.8473304112917,"[278.6957346582422, 366.9989261643412]"
2027-01-01,323.0040917258439,"[277.8805429402368, 368.12764051145103]"
2027-02-01,322.6247637720732,"[276.5908691672638, 368.6586583768826]"
