date,prediction,confidence_interval
2025-03-01,291.42053990120877,"[281.31778913898387, 301.52329066343367]"
2025-04-01,295.4820238971033,"[278.7021781924615, 312.26186960174516]"
2025-05-01,298.72824899478576,"[274.4413810325622, 323.0151169570093]"
2025-06-01,302.3321704670328,"[268.41156600131814, 336.2527749327475]"
2025-07-01,306.3660549911384,"[262.1531270580264, 350.5789829242504]"
2025-08-01,310.0517947940313,"[254.7713530981658, 365.33223648989684]"
2025-09-01,314.15579217422896,"[246.70499969275374, 381.6065846557042]"
2025-10-01,318.2050585595098,"[237.9024201576832, 398.50769696133636]"
2025-11-01,322.4778575160218,"[228.5141904150779, 416.4415246169657]"
2025-12-01,326.72760542603953,"[218.36483435379884, 435.0903764982802]"
2026-01-01,331.2512295864886,"[207.7544585219356, 454.7480006510416]"
2026-02-01,335.71997268488747,"[196.4317846980872, 475.00816067168773]"
2026-03-01,340.4619118592571,"[184.6711178932681, 496.2527058252461]"
2026-04-01,345.17487490619544,"[172.26128354766962, 518.0884662647213]"
2026-05-01,350.14202133847505,"[159.43923899087955, 540.8448036860706]"
2026-06-01,355.095639300945,"[146.00428014943185, 564.186998452458]"
2026-07-01,360.2989371968862,"[132.18430565253215, 588.4135687412402]"
2026-08-01,365.49799810873935,"[117.78322294850588, 613.2127732689728]"
2026-09-01,370.9412589206516,"[103.01546758532771, 638.8670502559755]"
2026-10-01,376.3921164809608,"[87.69634944772037, 665.0878835142012]"
2026-11-01,382.0808260215265,"[72.02537331427504, 692.1362787287779]"
2026-12-01,387.78813490893316,"[55.828534056243086, 719.7477357616233]"
2027-01-01,393.72825334846004,"[39.29266462399465, 748.1638420729255]"
2027-02-01,399.6970182834216,"[22.25360812559387, 777.1404284412492]"
