date,prediction,confidence_interval
2025-03-01,353.55750221791595,"[345.62159694828455, 361.49340748754736]"
2025-04-01,356.2871194189738,"[342.4995227407297, 370.07471609721796]"
2025-05-01,362.3765403493786,"[340.20988142292305, 384.5431992758342]"
2025-06-01,366.6354499773919,"[335.48711274684297, 397.7837872079408]"
2025-07-01,372.10519982956896,"[330.63991088500546, 413.57048877413246]"
2025-08-01,377.00580463008527,"[324.41706459491263, 429.5945446652579]"
2025-09-01,382.3811651773842,"[317.6925860458212, 447.06974430894724]"
2025-10-01,387.62121514682656,"[310.0336681322325, 465.2087621614206]"
2025-11-01,393.0846267436897,"[301.7709669341624, 484.39828655321696]"
2025-12-01,398.56267616746084,"[292.7679359674813, 504.35741636744035]"
2026-01-01,404.1789668839067,"[283.15592291674466, 525.2020108510687]"
2026-02-01,409.8624562724878,"[272.90046148083604, 546.8244510641396]"
2026-03-01,415.65610710060196,"[262.0594796169259, 569.252734584278]"
2026-04-01,421.53610849161754,"[250.63183256834714, 592.440384414888]"
2026-05-01,427.5177592953609,"[238.64752669646757, 616.3879918942542]"
2026-06-01,433.5934515587446,"[226.1151485453305, 641.0717545721587]"
2026-07-01,439.76899398144906,"[213.05332967618867, 666.4846582867094]"
2026-08-01,446.0423370486247,"[199.47260673881303, 692.6120673584363]"
2026-09-01,452.4160338491165,"[185.38640838362568, 719.4456593146074]"
2026-10-01,458.8899416989971,"[170.80484526589572, 746.9750381320985]"
2026-11-01,465.46549684472797,"[155.73857001698582, 775.1924236724701]"
2026-12-01,472.1432107437088,"[140.19668134481947, 804.0897401425981]"
2027-01-01,478.92413650787614,"[124.18810097765436, 833.6601720380979]"
2027-02-01,485.80900999883414,"[107.72088753077753, 863.8971324668908]"
