date,prediction,confidence_interval
2025-03-01,191.59362875402863,"[163.56431111002178, 219.62294639803548]"
2025-04-01,192.0384362936459,"[162.70477662637728, 221.37209596091452]"
2025-05-01,192.58990020361995,"[162.44168191535292, 222.73811849188698]"
2025-06-01,193.20241849050825,"[162.46416826103123, 223.94066871998527]"
2025-07-01,193.8498867473601,"[162.63393009527442, 225.06584339944578]"
2025-08-01,194.5173617664162,"[162.88376139987145, 226.15096213296096]"
2025-09-01,195.19628945722894,"[163.1789863561707, 227.2135925582872]"
2025-10-01,195.88177311592028,"[163.50098812986056, 228.26255810198]"
2025-11-01,196.57100967312635,"[163.83950843132948, 229.30251091492323]"
2025-12-01,197.26239453970834,"[164.18879353618345, 230.33599554323322]"
2026-01-01,197.95500918459544,"[164.54557116314305, 231.36444720604783]"
2026-02-01,198.6483278038247,"[164.9079547667463, 232.38870084090314]"
2026-03-01,199.3420494061546,"[165.27483842948945, 233.40926038281972]"
2026-04-01,200.03600169214667,"[165.6455587019345, 234.42644468235883]"
2026-05-01,200.7300860307036,"[166.01970426020713, 235.44046780120007]"
2026-06-01,201.42424596143604,"[166.39700828434317, 236.4514836385289]"
2026-07-01,202.11844916415643,"[166.77728742208922, 237.45961090622365]"
2026-08-01,202.81267713749534,"[167.16040708821834, 238.46494718677235]"
2026-09-01,203.50691929052812,"[167.54626168724343, 239.4675768938128]"
2026-10-01,204.2011695605854,"[167.93476330634718, 240.46757581482365]"
2026-11-01,204.89542447715255,"[168.32583522195003, 241.46501373235506]"
2026-12-01,205.58968205356797,"[168.71940814526286, 242.45995596187308]"
2027-01-01,206.28394115258703,"[169.11541802864244, 243.45246427653163]"
2027-02-01,206.9782011232054,"[169.51380476317942, 244.44259748323137]"
