date,prediction,confidence_interval
2025-03-01,123.36744191042965,"[113.83076212506361, 132.90412169579568]"
2025-04-01,125.22628563321867,"[113.46349074344417, 136.98908052299316]"
2025-05-01,126.1242212294219,"[112.0284392377175, 140.22000322112632]"
2025-06-01,127.66011704673151,"[111.53319426015202, 143.787039833311]"
2025-07-01,128.7846413716216,"[110.80320880259312, 146.76607394065007]"
2025-08-01,130.36169393335683,"[110.55093437844909, 150.17245348826458]"
2025-09-01,131.60083196362976,"[110.07665942732746, 153.12500449993206]"
2025-10-01,133.25438857699297,"[109.98468784483636, 156.5240893091496]"
2025-11-01,134.59724523861425,"[109.64899495749755, 159.54549551973093]"
2025-12-01,136.33155543225178,"[109.64718677435309, 163.01592409015046]"
2026-01-01,137.7768221214206,"[109.39047235765564, 166.16317188518553]"
2026-02-01,139.5931617302462,"[109.43111294884298, 169.75521051164944]"
2026-03-01,141.14047015246814,"[109.21295415583918, 173.0679861490971]"
2026-04-01,143.03980049278152,"[109.26109087115172, 176.8185101144113]"
2026-05-01,144.68890375772247,"[109.05042602580019, 180.32738148964475]"
2026-06-01,146.67212484131917,"[109.07842487817379, 184.26582480446456]"
2026-07-01,148.4228181705603,"[108.84969898897569, 187.99593735214492]"
2026-08-01,150.49079449469542,"[108.83452353887539, 192.14706545051547]"
2026-09-01,152.3429059193256,"[108.56583136614373, 196.11998047250748]"
2026-10-01,154.49647066007037,"[108.48761387366673, 200.505327446474]"
2026-11-01,156.44985843772707,"[108.15970214442251, 204.74001473103164]"
2026-12-01,158.68981549911405,"[108.0009369371014, 209.37869406112668]"
2027-01-01,160.74436626657786,"[107.59661949301454, 213.89211304014117]"
2027-02-01,163.0714920294663,"[107.34166962354948, 218.80131443538312]"
