date,prediction,confidence_interval
2025-03-01,119.13182666475981,"[106.04866225334725, 132.2149910761724]"
2025-04-01,118.36686394523144,"[102.94594685865466, 133.7877810318082]"
2025-05-01,120.1291209352808,"[102.94345126679154, 137.31479060377004]"
2025-06-01,119.83070487012185,"[100.81238632367238, 138.8490234165713]"
2025-07-01,121.21852000984322,"[100.67195724784384, 141.7650827718426]"
2025-08-01,121.23249231739948,"[99.1230376522617, 143.34194698253725]"
2025-09-01,122.37176574262242,"[98.88191483457476, 145.86161665067007]"
2025-10-01,122.59530454377187,"[97.71243748962031, 147.47817159792345]"
2025-11-01,123.57001026100973,"[97.4112988592903, 149.72872166272916]"
2025-12-01,123.93453449275185,"[96.50014476736695, 151.36892421813675]"
2026-01-01,124.80068224117953,"[96.1696725461964, 153.43169193616268]"
2026-02-01,125.2604490884399,"[95.43991674206634, 155.08098143481345]"
2026-03-01,126.05539674834316,"[95.10092588698545, 157.00986760970088]"
2026-04-01,126.57989625634143,"[94.50201781157148, 158.65777470111138]"
2026-05-01,127.32856112317647,"[94.1678115138987, 160.48931073245424]"
2026-06-01,127.89744348748582,"[93.66575565710706, 162.12913131786456]"
2026-07-01,128.61644512339325,"[93.34438557080101, 163.88850467598547]"
2026-08-01,129.21613724817684,"[92.91589366685369, 165.51638082949998]"
2026-09-01,129.9165607183971,"[92.61189621558609, 167.22122522120813]"
2026-10-01,130.5380094979478,"[92.24074560989283, 168.83527338600277]"
2026-11-01,131.2272484191324,"[91.956375329481, 170.49812150878378]"
2026-12-01,131.86441553146898,"[91.63107745887454, 172.09775360406343]"
2027-01-01,132.54740136464264,"[91.36714965202712, 173.72765307725814]"
2027-02-01,133.19625931538602,"[91.07942916553242, 175.3130894652396]"
