date,prediction,confidence_interval
2025-03-01,630.7311707862453,"[591.0461510723301, 670.4161905001606]"
2025-04-01,630.0040130229336,"[585.7954172030808, 674.2126088427864]"
2025-05-01,631.8929579962476,"[585.8482926473522, 677.9376233451429]"
2025-06-01,634.4051104381977,"[586.9856705161885, 681.8245503602068]"
2025-07-01,637.05338539717,"[588.3635234318202, 685.7432473625198]"
2025-08-01,639.7297608323346,"[589.8033897350875, 689.6561319295816]"
2025-09-01,642.4110827099805,"[591.2667863882018, 693.5553790317592]"
2025-10-01,645.0924523992018,"[592.744843355515, 697.4400614428886]"
2025-11-01,647.7728388481647,"[594.2349819441303, 701.3106957521992]"
2025-12-01,650.4520254922053,"[595.7360080010224, 705.1680429833882]"
2026-01-01,653.1299668814497,"[597.2470772455625, 709.0128565173369]"
2026-02-01,655.8066534806579,"[598.7674719295209, 712.845835031795]"
2026-03-01,658.4820832896385,"[600.2965479450124, 716.6676186342645]"
2026-04-01,661.1562558888376,"[601.8337183951746, 720.4787933825005]"
2026-05-01,663.8291711902529,"[603.3784455272848, 724.2798968532209]"
2026-06-01,666.5008291754259,"[604.9302350431171, 728.0714233077347]"
2026-07-01,669.1712298404849,"[606.4886314364514, 731.8538282445184]"
2026-08-01,671.8403731846179,"[608.0532139929826, 735.6275323762532]"
2026-09-01,674.5082592076545,"[609.6235933082926, 739.3929251070165]"
2026-10-01,677.1748879095591,"[611.1994082374507, 743.1503675816674]"
2026-11-01,679.8402592903242,"[612.7803232114607, 746.9001953691877]"
2026-12-01,682.5043733499481,"[614.3660258680475, 750.6427208318487]"
2027-01-01,685.1672300884305,"[615.9562249531447, 754.3782352237164]"
2027-02-01,687.8288295057713,"[617.5506484564502, 758.1070105550924]"
