date,prediction,confidence_interval
2025-03-01,160.11941275990895,"[151.98436987081163, 168.25445564900627]"
2025-04-01,160.11933688323964,"[151.30678652201067, 168.9318872444686]"
2025-05-01,160.91373735461747,"[151.62255778761835, 170.2049169216166]"
2025-06-01,160.66306820173332,"[150.57555302425345, 170.7505833792132]"
2025-07-01,160.50261249580143,"[149.7300204944139, 171.27520449718895]"
2025-08-01,160.5173931353977,"[149.15172786716806, 171.88305840362733]"
2025-09-01,160.4752849574795,"[148.52843650683286, 172.42213340812611]"
2025-10-01,160.41343806591863,"[147.90942993889192, 172.91744619294533]"
2025-11-01,160.36684376265958,"[147.33489847244314, 173.39878905287603]"
2025-12-01,160.32054106002613,"[146.78222209381218, 173.85886002624008]"
2026-01-01,160.2713956233338,"[146.2454239004856, 174.297367346182]"
2026-02-01,160.22292684713943,"[145.72698096262906, 174.7188727316498]"
2026-03-01,160.17491706592523,"[145.22490590856222, 175.12492822328824]"
2026-04-01,160.12675663327758,"[144.73705096777235, 175.5164622987828]"
2026-05-01,160.0786256337217,"[144.26244122035433, 175.8948100470891]"
2026-06-01,160.03059700346827,"[143.80011782643723, 176.26107618049932]"
2026-07-01,159.9826202317645,"[143.34910666947476, 176.61613379405426]"
2026-08-01,159.93469310880837,"[142.9086039082608, 176.96078230935595]"
2026-09-01,159.88682550679508,"[142.4779116143264, 177.29573939926377]"
2026-10-01,159.83901548664988,"[142.05639552385387, 177.6216354494459]"
2026-11-01,159.79126154677124,"[141.6434885234769, 177.9390345700656]"
2026-12-01,159.74356429835612,"[141.23868302940454, 178.2484455673077]"
2027-01-01,159.6959237876405,"[140.84152002180633, 178.5503275534747]"
2027-02-01,159.64833979434817,"[140.45158298003363, 178.84509660866271]"
