date,prediction,confidence_interval
2025-03-01,185.03054019232042,"[175.34911139513645, 194.71196898950438]"
2025-04-01,186.09196310584002,"[175.84422606529054, 196.3397001463895]"
2025-05-01,186.791765025647,"[175.24426681328393, 198.3392632380101]"
2025-06-01,187.6038515466927,"[175.13161919903976, 200.07608389434566]"
2025-07-01,188.3810733007737,"[174.98002200320218, 201.7821245983452]"
2025-08-01,189.1691206886646,"[174.9196620798491, 203.4185792974801]"
2025-09-01,189.95380667885837,"[174.89780947189377, 205.00980388582298]"
2025-10-01,190.73953639496017,"[174.9198026460807, 206.55927014383963]"
2025-11-01,191.52494203046538,"[174.97616598878304, 208.07371807214773]"
2025-12-01,192.31044829414537,"[175.06357337908725, 209.5573232092035]"
2026-01-01,193.09592331242015,"[175.1780817044155, 211.01376492042482]"
2026-02-01,193.88140803250408,"[175.31684798326455, 212.44596808174362]"
2026-03-01,194.66688974014187,"[175.47739025178035, 213.8563892285034]"
2026-04-01,195.45237238315485,"[175.65765485348885, 215.24708991282085]"
2026-05-01,196.2378547357305,"[175.85588209173025, 216.61982737973076]"
2026-06-01,197.023337178488,"[176.0705624007506, 217.9761119562254]"
2026-07-01,197.8088195932437,"[176.30038556402943, 219.31725362245797]"
2026-08-01,198.59430201669406,"[176.5442068370122, 220.6443971963759]"
2026-09-01,199.3797844374447,"[176.80101873558752, 221.95855013930188]"
2026-10-01,200.1652668590336,"[177.06992915287546, 223.26060456519176]"
2026-11-01,200.95074928036223,"[177.35014363310512, 224.55135492761934]"
2026-12-01,201.7362317017717,"[177.64095104208778, 225.8315123614556]"
2027-01-01,202.52171412315604,"[177.9417118200265, 227.10171642628558]"
2027-02-01,203.3071965445482,"[178.25184828565628, 228.3625448034401]"
