date,prediction,confidence_interval
2025-03-01,91.00426930288643,"[-105.38143472259247, 287.38997332836533]"
2025-04-01,88.9552090082469,"[-107.73479936052192, 285.6452173770157]"
2025-05-01,87.68425189406219,"[-109.1995179695032, 284.56802175762755]"
2025-06-01,87.00986026752335,"[-109.89520555151506, 283.91492608656176]"
2025-07-01,86.5504218989995,"[-110.39100427574115, 283.49184807374013]"
2025-08-01,86.34331776730536,"[-110.59824897570513, 283.28488451031586]"
2025-09-01,86.16399105669744,"[-110.7878121553697, 283.1157942687646]"
2025-10-01,86.1141946985305,"[-110.83850687747395, 283.06689627453494]"
2025-11-01,86.0329931118919,"[-110.92416780140996, 282.99015402519376]"
2025-12-01,86.03477064574767,"[-110.92404575465443, 282.99358704614974]"
2026-01-01,85.9892183119133,"[-110.97226307276492, 282.9506996965915]"
2026-02-01,86.00664854165538,"[-110.95652551883859, 282.96982260214935]"
2026-03-01,85.97516134446765,"[-110.98989680230484, 282.94021949124016]"
2026-04-01,85.99617032646978,"[-110.97036442358575, 282.9627050765253]"
2026-05-01,85.97117005564255,"[-110.99679965339752, 282.93913976468264]"
2026-06-01,85.99181618578507,"[-110.97737361668544, 282.9610059882556]"
2026-07-01,85.97053468062168,"[-110.99978156532433, 282.9408509265677]"
2026-08-01,85.98963742946637,"[-110.98166708560598, 282.9609419445387]"
2026-09-01,85.97096993234292,"[-111.00122937101646, 282.9431692357023]"
2026-10-01,85.98827526267652,"[-110.98471855637962, 282.96126908173267]"
2026-11-01,85.97170248282622,"[-111.00200536370936, 282.9454103293618]"
2026-12-01,85.98725738818015,"[-110.98708739048129, 282.9616021668416]"
2027-01-01,85.97247515157369,"[-111.00244040990083, 282.9473907130482]"
2027-02-01,85.98641544792102,"[-110.98901016328526, 282.9618410591273]"
