date,prediction,confidence_interval
2025-03-01,194.3216181025556,"[183.93003887510554, 204.71319733000564]"
2025-04-01,194.03628352828517,"[179.3712082117606, 208.70135884480973]"
2025-05-01,193.75214767124817,"[175.82880710683278, 211.67548823566355]"
2025-06-01,193.46920549552135,"[172.81641983771664, 214.12199115332606]"
2025-07-01,193.1874519863379,"[170.14518313144555, 216.22972084123023]"
2025-08-01,192.90688214999847,"[167.7180089182215, 218.09575538177543]"
2025-09-01,192.62749101378276,"[165.47708701094157, 219.77789501662394]"
2025-10-01,192.3492736258613,"[163.3846617536845, 221.31388549803808]"
2025-11-01,192.07222505520772,"[161.41444525534112, 222.73000485507433]"
2025-12-01,191.7963403915114,"[159.5472511258872, 224.0454296571356]"
2026-01-01,191.5216147450903,"[157.7685596773663, 225.27466981281427]"
2026-02-01,191.24804324680446,"[156.06706254039807, 226.42902395321084]"
2026-03-01,190.97562104796964,"[154.433744139198, 227.51749795674127]"
2026-04-01,190.70434332027133,"[152.8612760566017, 228.54741058394097]"
2026-05-01,190.43420525567927,"[151.34360304710384, 229.5248074642547]"
2026-06-01,190.16520206636216,"[149.87565136588995, 230.45475276683436]"
2026-07-01,189.89732898460278,"[148.4531179167967, 231.34154005240885]"
2026-08-01,189.63058126271363,"[147.07231440565073, 232.18884811977654]"
2026-09-01,189.36495417295262,"[145.7300499016353, 232.99985844426993]"
2026-10-01,189.1004430074394,"[144.42354082450152, 233.77734519037728]"
2026-11-01,188.8370430780718,"[143.15034090592388, 234.5237452502197]"
2026-12-01,188.57474971644282,"[141.9082859552421, 235.24121347764356]"
2027-01-01,188.31355827375796,"[140.6954497713159, 235.93166677620002]"
2027-02-01,188.05346412075264,"[139.5101085654828, 236.59681967602248]"
