date,prediction,confidence_interval
2025-03-01,202.79192691935515,"[178.39757327550436, 227.18628056320594]"
2025-04-01,212.7785279060806,"[158.09228287110116, 267.46477294106]"
2025-05-01,223.03189135849678,"[131.30087641505148, 314.76290630194205]"
2025-06-01,233.55479874423125,"[98.95210004654498, 368.1574974419175]"
2025-07-01,244.35003153091137,"[61.66430954673626, 427.03575351508647]"
2025-08-01,255.4203711861647,"[19.87961314270771, 490.96112922962163]"
2025-09-01,266.76859917761857,"[-26.067648966399872, 559.604847321637]"
2025-10-01,278.39749697290057,"[-75.91413277340394, 632.7091267192051]"
2025-11-01,290.30984603963805,"[-129.44601282727535, 710.0657049065514]"
2025-12-01,302.5084278454585,"[-186.48554693025255, 791.5024026211696]"
2026-01-01,314.9960238579895,"[-246.88220463115522, 876.8742523471342]"
2026-02-01,327.77541554485833,"[-310.5065507669259, 966.0573818566426]"
2026-03-01,340.84938437369254,"[-377.24587777321375, 1058.9446465205988]"
2026-04-01,354.2207118121196,"[-447.0009948130315, 1155.4424184372706]"
2026-05-01,367.8921793277669,"[-519.6838089742248, 1255.4681676297587]"
2026-06-01,381.866568388262,"[-595.215464841044, 1358.9486016175679]"
2026-07-01,396.1466604612322,"[-673.5248876529711, 1465.8182085754354]"
2026-08-01,410.7352370143052,"[-754.5476245523693, 1576.0180985809798]"
2026-09-01,425.6350795151082,"[-838.2249102041155, 1689.4950692343318]"
2026-10-01,440.8489694312688,"[-924.5029041403122, 1806.20084300285]"
2026-11-01,456.3796882304144,"[-1013.33206149742, 1926.0914379582487]"
2026-12-01,472.23001738017257,"[-1104.6666087510002, 2049.1266435113453]"
2027-01-01,488.4027383481706,"[-1198.4641030877315, 2175.269579784073]"
2027-02-01,504.9006326020361,"[-1294.6850591210782, 2304.4863243251502]"
