date,prediction,confidence_interval
2025-03-01,870.7989380628892,"[739.8411866957872, 1001.7566894299912]"
2025-04-01,874.8974817945942,"[689.695253713355, 1060.0997098758335]"
2025-05-01,878.9960255262993,"[652.1705465135061, 1105.8215045390925]"
2025-06-01,883.0945692580043,"[621.1790665238004, 1145.0100719922082]"
2025-07-01,887.1931129897093,"[594.3626787523533, 1180.0235472270654]"
2025-08-01,891.2916567214144,"[570.5119880097484, 1212.0713254330803]"
2025-09-01,895.3902004531194,"[548.9085580795388, 1241.8718428267]"
2025-10-01,899.4887441848244,"[529.0842880223458, 1269.893200347303]"
2025-11-01,903.5872879165295,"[510.7140338152237, 1296.4605420178352]"
2025-12-01,907.6858316482345,"[493.561060074163, 1321.810603222306]"
2026-01-01,911.7843753799395,"[477.4466507066105, 1346.1221000532687]"
2026-02-01,915.8829191116446,"[462.2319610860583, 1369.5338771372308]"
2026-03-01,919.9814628433496,"[447.8065753697992, 1392.1563503169]"
2026-04-01,924.0800065750547,"[434.0809688170325, 1414.0790443330768]"
2026-05-01,928.1785503067597,"[420.9813602052023, 1435.3757404083171]"
2026-06-01,932.2770940384647,"[408.446088570057, 1456.1080995068723]"
2026-07-01,936.3756377701698,"[396.4229963902328, 1476.3282791501067]"
2026-08-01,940.4741815018748,"[384.86749725815696, 1496.0808657455927]"
2026-09-01,944.5727252335798,"[373.741121151057, 1515.4043293161026]"
2026-10-01,948.6712689652849,"[363.0104004905729, 1534.3321374399968]"
2026-11-01,952.7698126969899,"[352.6460042160387, 1552.893621177941]"
2026-12-01,956.8683564286949,"[342.62205554540174, 1571.1146573119881]"
2027-01-01,960.9669001604,"[332.915587931903, 1589.018212388897]"
2027-02-01,965.065443892105,"[323.50610646877317, 1606.6247813154368]"
