date,prediction,confidence_interval
2025-03-01,331.28237052500344,"[320.0234779482956, 342.5412631017113]"
2025-04-01,345.3581915652853,"[317.9745825633175, 372.74180056725316]"
2025-05-01,364.57892843313056,"[309.30818310995306, 419.84967375630805]"
2025-06-01,387.84491846502976,"[294.6783215246302, 481.01151540542935]"
2025-07-01,416.077978773433,"[271.7999120437103, 560.3560455031557]"
2025-08-01,448.61728624052637,"[240.35646110138927, 656.8781113796634]"
2025-09-01,486.04108535047635,"[198.91033692447854, 773.1718337764742]"
2025-10-01,527.9575400265493,"[146.87055939426926, 909.0445206588292]"
2025-11-01,574.734301643005,"[83.18098935792045, 1066.2876139280895]"
2025-12-01,626.1444099392909,"[7.175966569956358, 1245.1128533086253]"
2026-01-01,682.4264330790455,"[-82.00225108648704, 1446.8551172445782]"
2026-02-01,743.454471561567,"[-185.0228752321783, 1671.9318183553123]"
2026-03-01,809.3879718960787,"[-302.6282815017174, 1921.4042252938748]"
2026-04-01,880.1629798532844,"[-435.46555812162376, 2195.7915178281924]"
2026-05-01,955.8904442627539,"[-584.2029127164136, 2495.9838012419214]"
2026-06-01,1036.54438029751,"[-749.4574002600641, 2822.546160855084]"
2026-07-01,1122.206010096634,"[-931.8450779843522, 3176.25709817762]"
2026-08-01,1212.8726222078512,"[-1131.952132154895, 3557.6973765705975]"
2026-09-01,1308.6072177721717,"[-1350.3551127831315, 3967.569548327475]"
2026-10-01,1409.4213507704585,"[-1587.611172127809, 4406.453873668726]"
2026-11-01,1515.3668537687731,"[-1844.2651643570543, 4874.998871894601]"
2026-12-01,1626.4640247563227,"[-2120.8478640333396, 5373.7759135459855]"
2027-01-01,1742.757850512461,"[-2417.877618852165, 5903.393319877087]"
2027-02-01,1864.2739886731158,"[-2735.8615451665755, 6464.409522512808]"
