date,prediction,confidence_interval
2025-03-01,154.9591752846213,"[139.26235633134235, 170.65599423790025]"
2025-04-01,155.60414507735075,"[139.77854302729165, 171.42974712740985]"
2025-05-01,156.60701130293484,"[140.71832133432332, 172.49570127154635]"
2025-06-01,157.57475904168203,"[141.5897698390461, 173.55974824431794]"
2025-07-01,158.50978822388853,"[142.39179038465568, 174.6277860631214]"
2025-08-01,159.4143347731992,"[143.12457540802782, 175.70409413837055]"
2025-09-01,160.29048181450875,"[143.78942342174662, 176.79154020727088]"
2025-10-01,161.14017011593646,"[144.38854915345468, 177.89179107841824]"
2025-11-01,161.96520781721614,"[144.92489253638777, 179.0055230980445]"
2025-12-01,162.76727949326673,"[145.4019333667824, 180.13262561975105]"
2026-01-01,163.54795459837553,"[145.82351884577088, 181.27239035098017]"
2026-02-01,164.30869533332233,"[146.1937100084786, 182.42368065816606]"
2026-03-01,165.0508639748792,"[146.5166509450094, 183.58507700474902]"
2026-04-01,165.77572970442625,"[146.796462409601, 184.75499699925152]"
2026-05-01,166.48447496991284,"[147.03715937902936, 185.93179056079632]"
2026-06-01,167.17820141305455,"[147.24259061552203, 187.11381221058707]"
2026-07-01,167.85793539147681,"[147.41639737447645, 188.29947340847718]"
2026-08-01,168.5246331234858,"[147.56198800615036, 189.48727824082127]"
2026-09-01,169.17918548125556,"[147.68252520507977, 190.67584575743135]"
2026-10-01,169.8224224564577,"[147.7809229226342, 191.8639219902812]"
2026-11-01,170.45511732071876,"[147.85985035696828, 193.05038428446923]"
2026-12-01,171.07799050175961,"[147.92174088126993, 194.2342401222493]"
2027-01-01,171.69171319464715,"[147.96880420701135, 195.41462218228295]"
2027-02-01,172.29691072625963,"[148.00304047070617, 196.59078098181308]"
