date,prediction,confidence_interval
2025-03-01,106.11871524991301,"[91.49206116330325, 120.74536933652277]"
2025-04-01,106.41677190634833,"[91.54673709280632, 121.28680671989034]"
2025-05-01,106.71482856278365,"[91.60533284179533, 121.82432428377197]"
2025-06-01,107.01288521921897,"[91.66766490378599, 122.35810553465195]"
2025-07-01,107.3109418756543,"[91.73356365864389, 122.8883200926647]"
2025-08-01,107.60899853208961,"[91.80287194451594, 123.41512511966329]"
2025-09-01,107.90705518852494,"[91.87544381321345, 123.93866656383642]"
2025-10-01,108.20511184496026,"[91.95114344104026, 124.45908024888026]"
2025-11-01,108.50316850139558,"[92.02984417197614, 124.97649283081502]"
2025-12-01,108.8012251578309,"[92.11142767407287, 125.49102264158893]"
2026-01-01,109.09928181426622,"[92.19578319310887, 126.00278043542357]"
2026-02-01,109.39733847070154,"[92.28280689013873, 126.51187005126435]"
2026-03-01,109.69539512713686,"[92.37240125169215, 127.01838900258157]"
2026-04-01,109.99345178357218,"[92.46447456311498, 127.52242900402939]"
2026-05-01,110.2915084400075,"[92.55894043698208, 128.02407644303292]"
2026-06-01,110.58956509644283,"[92.6557173897031, 128.52341280318257]"
2026-07-01,110.88762175287815,"[92.75472846043452, 129.02051504532176]"
2026-08-01,111.18567840931347,"[92.85590086724385, 129.5154559513831]"
2026-09-01,111.48373506574879,"[92.95916569616902, 130.00830443532857]"
2026-10-01,111.78179172218411,"[93.06445761940692, 130.4991258249613]"
2026-11-01,112.07984837861943,"[93.17171463936322, 130.98798211787565]"
2026-12-01,112.37790503505475,"[93.280877855721, 131.4749322143885]"
2027-01-01,112.67596169149007,"[93.39189125304723, 131.96003212993293]"
2027-02-01,112.9740183479254,"[93.50470150676638, 132.44333518908442]"
