date,prediction,confidence_interval
2025-03-01,135.49548787387297,"[126.31597636086765, 144.67499938687828]"
2025-04-01,135.25611713064282,"[125.36746630140452, 145.14476795988114]"
2025-05-01,138.99273690605838,"[127.98085174671807, 150.0046220653987]"
2025-06-01,138.2304619209601,"[125.59839038509885, 150.86253345682132]"
2025-07-01,141.13712879143952,"[127.25153376939637, 155.02272381348266]"
2025-08-01,141.60460604249158,"[126.3353668457078, 156.87384523927537]"
2025-09-01,144.55780379107026,"[127.70085291904824, 161.41475466309225]"
2025-10-01,145.20737577206685,"[126.765846620126, 163.6489049240077]"
2025-11-01,148.6059384028403,"[128.3651408587076, 168.846735946973]"
2025-12-01,149.51002365059242,"[127.36430168271212, 171.6557456184727]"
2026-01-01,153.20178521326457,"[128.93733544282378, 177.46623498370536]"
2026-02-01,154.44306713391035,"[127.92177068147774, 180.96436358634296]"
2026-03-01,158.43186987174195,"[129.40263465301695, 187.46110509046696]"
2026-04-01,159.9936600680709,"[128.29806355393646, 191.68925658220536]"
2026-05-01,164.2987495885751,"[129.66164377697652, 198.9358554001737]"
2026-06-01,166.18412600025576,"[128.42333035742035, 203.94492164309116]"
2026-07-01,170.8080021143698,"[129.62999534097463, 211.98600888776497]"
2026-08-01,173.02456059175157,"[128.22725096561075, 217.82187021789238]"
2026-09-01,177.97186690849637,"[129.24502625269898, 226.69870756429376]"
2026-10-01,180.5245482181345,"[127.64877475568906, 233.40032168057994]"
2026-11-01,185.80093637200824,"[128.45142827227602, 243.15044447174046]"
2026-12-01,188.6948410897245,"[126.63630609820436, 250.75337608124462]"
2027-01-01,194.30556696798112,"[127.20020899939125, 261.410924936571]"
2027-02-01,197.54599303419513,"[125.14380426944712, 269.94818179894315]"
