date,prediction,confidence_interval
2025-03-01,243.8785873377432,"[232.14986678647043, 255.60730788901597]"
2025-04-01,245.16529145858178,"[231.65032230688712, 258.68026061027643]"
2025-05-01,246.03419780859335,"[231.16745122513143, 260.9009443920553]"
2025-06-01,247.15275566329962,"[230.73323227856622, 263.572279048033]"
2025-07-01,248.13381792140783,"[230.48260530982952, 265.7850305329861]"
2025-08-01,249.18898159294088,"[230.29012206532033, 268.08784112056145]"
2025-09-01,250.20445434448854,"[230.18492058917977, 270.22398809979734]"
2025-10-01,251.24114895421286,"[230.1353096666909, 272.34698824173483]"
2025-11-01,252.26650256538628,"[230.14043860231433, 274.39256652845825]"
2025-12-01,253.29791591558265,"[230.19007467820663, 276.4057571529587]"
2026-01-01,254.32609155870108,"[230.2798918986518, 278.3722912187504]"
2026-02-01,255.3559970805594,"[230.40497001145602, 280.3070241496628]"
2026-03-01,256.3849783466721,"[230.56170429692332, 282.20825239642085]"
2026-04-01,257.41445343223154,"[230.74698355545806, 284.081923309005]"
2026-05-01,258.443664675699,"[230.95815577540094, 285.929173575997]"
2026-06-01,259.4730168869708,"[231.1929972460811, 287.75303652786056]"
2026-07-01,260.5022937807632,"[231.44954779487125, 289.5550397666551]"
2026-08-01,261.5316109158198,"[231.7261314938105, 291.33709033782907]"
2026-09-01,262.5609065504311,"[232.0212588642859, 293.1005542365764]"
2026-10-01,263.5902136724834,"[232.33362823103118, 294.8467991139356]"
2026-11-01,264.61951465692795,"[232.66207610705956, 296.5769532067963]"
2026-12-01,265.6488189206258,"[233.00556865126646, 298.2920691899851]"
2027-01-01,266.67812143225626,"[233.36317568924113, 299.9930671752714]"
2027-02-01,267.7074248799962,"[233.73406062996705, 301.68078913002535]"
