date,prediction,confidence_interval
2025-03-01,138.20809568142386,"[124.19701100290897, 152.21918035993875]"
2025-04-01,136.19799125954322,"[119.1906473703072, 153.20533514877923]"
2025-05-01,135.07233089220517,"[116.5586203804514, 153.58604140395894]"
2025-06-01,134.41576413726227,"[114.93131547790097, 153.90021279662358]"
2025-07-01,134.0081062194148,"[113.78743275365296, 154.22877968517665]"
2025-08-01,133.73263277894762,"[112.89219756183317, 154.57306799606206]"
2025-09-01,133.5274654651608,"[112.13145192035131, 154.92347900997026]"
2025-10-01,133.35980066924816,"[111.44733654072061, 155.2722647977757]"
2025-11-01,133.21224776729557,"[110.80975380421948, 155.61474173037163]"
2025-12-01,133.07558680644033,"[110.20271879091246, 155.9484548219682]"
2026-01-01,132.9449292395526,"[109.61755025788518, 156.27230822122004]"
2026-02-01,132.81768266985154,"[109.04939276933847, 156.5859725703646]"
2026-03-01,132.69247192976832,"[108.49541604676, 156.88952781277663]"
2026-04-01,132.56856712774464,"[107.95387474625393, 157.18325950923537]"
2026-05-01,132.44558044676543,"[107.42361438244562, 157.46754651108523]"
2026-06-01,132.3233054124437,"[106.90381009054644, 157.74280073434093]"
2026-07-01,132.20163168647218,"[106.39382744945428, 158.0094359234901]"
2026-08-01,132.08049989726854,"[105.89314753883949, 158.2678522556976]"
2026-09-01,131.95987769497114,"[105.40132593986091, 158.51842945008138]"
2026-10-01,131.83974705779946,"[104.91796976997409, 158.76152434562482]"
2026-11-01,131.72009756294105,"[104.44272437339619, 158.99747075248592]"
2026-12-01,131.6009228193287,"[103.97526524104856, 159.22658039760884]"
2027-01-01,131.48221857658575,"[103.51529281186045, 159.44914434131104]"
2027-02-01,131.36398172253462,"[103.06252890219548, 159.66543454287375]"
