date,prediction,confidence_interval
2025-03-01,188.90686816936682,"[153.6143631335801, 224.19937320515353]"
2025-04-01,189.2974658025912,"[152.34818928081185, 226.24674232437056]"
2025-05-01,194.0879284608691,"[154.71998960531062, 233.4558673164276]"
2025-06-01,196.92452056539008,"[154.385830016466, 239.46321111431416]"
2025-07-01,194.59083251117505,"[148.76450384207294, 240.41716118027716]"
2025-08-01,195.93355502726664,"[147.7200690791671, 244.14704097536617]"
2025-09-01,197.1132561938257,"[146.42501395037604, 247.80149843727534]"
2025-10-01,197.72378966873944,"[144.60849311773043, 250.83908621974845]"
2025-11-01,198.2284931287026,"[142.8226775548097, 253.63430870259552]"
2025-12-01,199.0595464600871,"[141.48679718266607, 256.6322957375081]"
2026-01-01,199.79517701092436,"[140.11043290867508, 259.47992111317365]"
2026-02-01,200.4819713783649,"[138.75693978368153, 262.2070029730483]"
2026-03-01,201.19067986767203,"[137.49542916148485, 264.8859305738592]"
2026-04-01,201.91849545773084,"[136.3124936186788, 267.5244972967829]"
2026-05-01,202.63182759836144,"[135.16722490689395, 270.09643028982896]"
2026-06-01,203.34412719769804,"[134.07128563361965, 272.61696876177643]"
2026-07-01,204.06001820460534,"[133.0253022137768, 275.0947341954339]"
2026-08-01,204.7760670399703,"[132.02197642290162, 277.53015765703896]"
2026-09-01,205.49072468970007,"[131.0568626241749, 279.9245867552253]"
2026-10-01,206.20572804503882,"[130.1292535605576, 282.2822025295201]"
2026-11-01,206.92102671442044,"[129.2366731561103, 284.6053802727306]"
2026-12-01,207.6361963420717,"[128.37655352265904, 286.8958391614844]"
2027-01-01,208.3512835157123,"[127.54705581820464, 289.15551121322]"
2027-02-01,209.06643404714612,"[126.74660490909524, 291.386263185197]"
