date,prediction,confidence_interval
2025-03-01,1027.6170481146505,"[716.8415088822142, 1338.3925873470869]"
2025-04-01,1037.9452800226334,"[725.0851575885893, 1350.8054024566775]"
2025-05-01,1027.7969839235902,"[714.0650738353447, 1341.5288940118357]"
2025-06-01,1043.7129053810836,"[724.8191016130289, 1362.6067091491382]"
2025-07-01,1037.614878574028,"[717.3809272519466, 1357.8488298961092]"
2025-08-01,1050.2937679691072,"[725.731810407553, 1374.8557255306614]"
2025-09-01,1046.8404240299599,"[720.6457110302263, 1373.0351370296935]"
2025-10-01,1057.255387234314,"[727.2524224934743, 1387.2583519751536]"
2025-11-01,1055.7490342655806,"[723.891209945082, 1387.6068585860792]"
2025-12-01,1064.4901686641258,"[729.1946255811406, 1399.785711747111]"
2026-01-01,1064.4226345131142,"[727.1090217974167, 1401.7362472288116]"
2026-02-01,1071.9269720654402,"[731.4452674544259, 1412.4086766764544]"
2026-03-01,1072.9225798473153,"[730.3073551203479, 1415.5378045742827]"
2026-04-01,1079.5130477745938,"[733.930064528, 1425.0960310211876]"
2026-05-01,1081.2942117163668,"[733.4994515501048, 1429.0889718826288]"
2026-06-01,1087.2094208750525,"[736.5988535823963, 1437.8199881677087]"
2026-07-01,1089.571032692613,"[736.6986546646451, 1442.443410720581]"
2026-08-01,1094.9872927784631,"[739.4167940102465, 1450.5577915466797]"
2026-09-01,1097.7777978484082,"[739.9164722420804, 1455.639123454736]"
2026-10-01,1102.8253841918745,"[742.3590543798434, 1463.2917140039056]"
2026-11-01,1105.9327987202166,"[743.1620466360371, 1468.7035508043962]"
2026-12-01,1110.7079718341101,"[745.407516253192, 1476.0084274150283]"
2027-01-01,1114.0495509343198,"[746.4422439224886, 1481.656857946151]"
2027-02-01,1118.6234377641226,"[748.5486730007788, 1488.6982025274665]"
