date,prediction,confidence_interval
2025-03-01,147.06172908855993,"[131.4626285341818, 162.66082964293807]"
2025-04-01,146.79522162204955,"[130.7061033393605, 162.8843399047386]"
2025-05-01,145.66534527441846,"[129.04313170261008, 162.28755884622683]"
2025-06-01,146.3069239005577,"[129.54752988400534, 163.06631791711007]"
2025-07-01,148.29701583680338,"[131.4897118466992, 165.10431982690756]"
2025-08-01,149.13854943236996,"[132.09824928908745, 166.17884957565246]"
2025-09-01,148.39936884338766,"[130.87526277164469, 165.92347491513064]"
2025-10-01,148.17547877085636,"[130.3747437915521, 165.9762137501606]"
2025-11-01,149.53460221357943,"[131.65609129045453, 167.41311313670434]"
2025-12-01,150.9463295011783,"[132.950163446001, 168.9424955563556]"
2026-01-01,150.95741082554846,"[132.62628808229124, 169.2885335688057]"
2026-02-01,150.46651327469814,"[131.78408577173616, 169.14894077766013]"
2026-03-01,151.0669983251211,"[132.23610005605406, 169.89789659418813]"
2026-04-01,152.4714825726086,"[133.54992328325022, 171.393041861967]"
2026-05-01,153.15963981160203,"[134.03199521352673, 172.28728440967734]"
2026-06-01,152.89511316224548,"[133.4379755287685, 172.35225079572245]"
2026-07-01,152.96273172287673,"[133.28125851962272, 172.64420492613073]"
2026-08-01,153.99142938741215,"[134.20013542928888, 173.78272334553543]"
2026-09-01,155.03477719278686,"[135.10615887760778, 174.96339550796594]"
2026-10-01,155.22215092365775,"[135.0371631531713, 175.4071386941442]"
2026-11-01,155.11842187759714,"[134.67141203913116, 175.56543171606313]"
2026-12-01,155.68675649809987,"[135.08739715663043, 176.2861158395693]"
2027-01-01,156.73405589763811,"[136.01723296129506, 177.45087883398116]"
2027-02-01,157.33500896764895,"[136.4313056440755, 178.23871229122238]"
