date,prediction,confidence_interval
2025-03-01,165.31313280264146,"[149.16705918121167, 181.45920642407125]"
2025-04-01,162.78003338533674,"[145.87590189371574, 179.68416487695774]"
2025-05-01,165.34232881334594,"[147.73785345264315, 182.94680417404874]"
2025-06-01,162.69466937548373,"[144.45097601117942, 180.93836273978803]"
2025-07-01,165.76287212035245,"[145.5281038544053, 185.99764038629962]"
2025-08-01,165.64291469800665,"[144.50597948032512, 186.77984991568817]"
2025-09-01,166.76278807664724,"[144.77216654465394, 188.75340960864054]"
2025-10-01,166.59566976553597,"[143.79993636681428, 189.39140316425767]"
2025-11-01,167.81658154240972,"[143.97673920070275, 191.6564238841167]"
2025-12-01,168.27294136759895,"[143.6016001204186, 192.9442826147793]"
2026-01-01,169.03122473903684,"[143.55912575063604, 194.50332372743765]"
2026-02-01,169.47174387950855,"[143.22883927807533, 195.71464848094178]"
2026-03-01,170.2492110923432,"[143.20070632008483, 197.29771586460154]"
2026-04-01,170.8433274357451,"[143.0471301842226, 198.6395246872676]"
2026-05-01,171.5110255468384,"[142.98773705420194, 200.03431403947485]"
2026-06-01,172.10030429985125,"[142.8696338571855, 201.330974742517]"
2026-07-01,172.77134997466553,"[142.83748097667575, 202.7052189726553]"
2026-08-01,173.39842375409478,"[142.7848915249969, 204.01195598319265]"
2026-09-01,174.04344362502093,"[142.76528056099454, 205.32160668904731]"
2026-10-01,174.66912012087369,"[142.7406129921791, 206.59762724956826]"
2026-11-01,175.31463226859145,"[142.74594835469387, 207.88331618248904]"
2026-12-01,175.94959834087533,"[142.75469126558713, 209.14450541616353]"
2027-01-01,176.58894450189294,"[142.779479882888, 210.39840912089787]"
2027-02-01,177.22352159227475,"[142.8105957978343, 211.6364473867152]"
