date,prediction,confidence_interval
2025-03-01,390995.14024609554,"[354238.56215181405, 427751.71834037703]"
2025-04-01,390759.29937200656,"[349447.82333781116, 432070.77540620195]"
2025-05-01,392723.42780486244,"[345628.4707058553, 439818.3849038696]"
2025-06-01,395040.29763153923,"[342749.30981075444, 447331.285452324]"
2025-07-01,397024.73745506763,"[340158.1071591615, 453891.3677509738]"
2025-08-01,399108.06572819385,"[337957.2047940097, 460258.926662378]"
2025-09-01,401182.08268512646,"[336035.141916589, 466329.0234536639]"
2025-10-01,403251.00342713535,"[334340.66645396425, 472161.34040030645]"
2025-11-01,405322.74092558847,"[332843.0966541027, 477802.38519707427]"
2025-12-01,407393.82675599883,"[331512.87130408676, 483274.7822079109]"
2026-01-01,409464.9186190264,"[330328.684848346, 488601.15238970675]"
2026-02-01,411536.06571272586,"[329273.25470957946, 493798.87671587226]"
2026-03-01,413607.19066452846,"[328332.3680652953, 498882.01326376165]"
2026-04-01,415678.31939826556,"[327494.3018712069, 503862.3369253242]"
2026-05-01,417749.4486091183,"[326749.1929615362, 508749.7042567004]"
2026-06-01,419820.57729907456,"[326088.66126964625, 513552.49332850287]"
2026-07-01,421891.7061506644,"[325505.5160240295, 518277.8962772993]"
2026-08-01,423962.83498504985,"[324993.53060173255, 522932.13936836715]"
2026-09-01,426033.96381188213,"[324547.27122191875, 527520.6564018455]"
2026-10-01,428105.09264319,"[324161.96234674775, 532048.2229396323]"
2026-11-01,430176.22147341433,"[323833.38015945966, 536519.062787369]"
2026-12-01,432247.3503036671,"[323557.76726263494, 540936.9333446992]"
2027-01-01,434318.47913400445,"[323331.7636021642, 545305.1946658447]"
2027-02-01,436389.6079643062,"[323152.3500168631, 549626.8659117493]"
