date,prediction,confidence_interval
2025-03-01,352841.0799564504,"[172202.4190110695, 533479.7409018313]"
2025-04-01,300905.12537927827,"[22730.33066057216, 579079.9200979844]"
2025-05-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2025-06-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2025-07-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2025-08-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2025-09-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2025-10-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2025-11-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2025-12-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2026-01-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2026-02-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2026-03-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2026-04-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2026-05-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2026-06-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2026-07-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2026-08-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2026-09-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2026-10-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2026-11-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2026-12-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2027-01-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
2027-02-01,277207.18702822144,"[-25814.493133133685, 580228.8671895766]"
