date,prediction,confidence_interval
2025-03-01,182494.5758234047,"[143466.33148415107, 221522.82016265835]"
2025-04-01,187882.4959388061,"[146024.91566635238, 229740.07621125982]"
2025-05-01,187448.67057638068,"[145105.44293687373, 229791.89821588763]"
2025-06-01,181297.12222919584,"[137042.83340395687, 225551.4110544348]"
2025-07-01,189952.7771045163,"[144777.9576094023, 235127.5965996303]"
2025-08-01,178516.46439231356,"[132370.97099118272, 224661.9577934444]"
2025-09-01,188248.50547532522,"[140639.54689568543, 235857.464054965]"
2025-10-01,179653.22789562022,"[131519.41735192627, 227787.03843931417]"
2025-11-01,183677.81518064684,"[133947.67856291498, 233407.9517983787]"
2025-12-01,182330.68844791752,"[132118.6461878832, 232542.73070795185]"
2026-01-01,179096.97639947594,"[127645.54202776222, 230548.41077118966]"
2026-02-01,183778.10696530636,"[131645.1927198296, 235911.02121078313]"
2026-03-01,176708.0702743997,"[123796.68166542579, 229619.45888337365]"
2026-04-01,182678.32975319723,"[128826.1626662873, 236530.49684010717]"
2026-05-01,176819.42125829787,"[122460.22139429243, 231178.6211223033]"
2026-06-01,179656.4401991095,"[124274.19176206374, 235038.68863615525]"
2026-07-01,178099.41588201537,"[122265.8461285999, 233932.98563543084]"
2026-08-01,176422.56730951538,"[119722.98427355324, 233122.1503454775]"
2026-09-01,178808.54247617332,"[121570.31651253536, 236046.76843981128]"
2026-10-01,174431.06987376488,"[116567.52608775576, 232294.613659774]"
2026-11-01,177997.32012134127,"[119469.31702167781, 236525.32322100474]"
2026-12-01,174019.91988269336,"[115033.77418749595, 233006.06557789078]"
2027-01-01,175919.65181379888,"[116223.75917667618, 235615.5444509216]"
2027-02-01,174461.27988928295,"[114359.41567413943, 234563.14410442646]"
