date,prediction,confidence_interval
2025-03-01,210116.10526692308,"[77151.06425575592, 343081.14627809025]"
2025-04-01,186542.91698884868,"[9414.004850556637, 363671.8291271407]"
2025-05-01,166354.41175127783,"[-73945.93541268577, 406654.75891524146]"
2025-06-01,161828.77959356262,"[-165522.07300492798, 489179.63219205325]"
2025-07-01,134397.8836719405,"[-300200.0521064572, 568995.8194503383]"
2025-08-01,105174.63954989426,"[-429884.26274835237, 640233.5418481409]"
2025-09-01,79014.70341921423,"[-578309.1459885555, 736338.552826984]"
2025-10-01,47636.75196510003,"[-744766.2967085494, 840039.8006387495]"
2025-11-01,5883.973445257332,"[-930926.8891594118, 942694.8360499264]"
2025-12-01,-35180.17156175565,"[-1125887.9309810337, 1055527.5878575223]"
2026-01-01,-80609.76178148866,"[-1341317.9194049034, 1180098.3958419259]"
2026-02-01,-133004.62971068668,"[-1573877.1153640447, 1307867.8559426714]"
2026-03-01,-190272.7297533877,"[-1822794.1848291717, 1442248.7253223965]"
2026-04-01,-250704.75075735085,"[-2087670.145530932, 1586260.6440162302]"
2026-05-01,-317695.0610383982,"[-2372194.7416127245, 1736804.6195359281]"
2026-06-01,-390391.83944574103,"[-2673942.2241615723, 1893158.5452700905]"
2026-07-01,-468013.49799430114,"[-2993622.9225113913, 2057595.9265227888]"
2026-08-01,-551313.3234062337,"[-3332054.988382018, 2229428.3415695503]"
2026-09-01,-641130.7015863603,"[-3689877.2627450656, 2407615.8595723454]"
2026-10-01,-736725.364353014,"[-4066411.9106446225, 2592961.181938594]"
2026-11-01,-838440.2588607434,"[-4462620.928885533, 2785740.4111640453]"
2026-12-01,-946776.1553457782,"[-4878860.232375094, 2985307.921683537]"
2027-01-01,-1061762.5669264866,"[-5315287.637895944, 3191762.50404297]"
2027-02-01,-1183336.4772536117,"[-5772095.7991496865, 3405422.8446424636]"
