date,prediction,confidence_interval
2025-03-01,818153.0495785442,"[762239.9146455572, 874066.1845115313]"
2025-04-01,812684.3178871943,"[739036.2569451354, 886332.3788292533]"
2025-05-01,812514.9158279231,"[725812.0412192951, 899217.7904365511]"
2025-06-01,805450.7478048087,"[706430.1719960228, 904471.3236135945]"
2025-07-01,805824.5067555612,"[696740.727312178, 914908.2861989444]"
2025-08-01,799382.5346680512,"[680563.5138037766, 918201.5555323258]"
2025-09-01,798150.0116483989,"[670640.1727925664, 925659.8505042315]"
2025-10-01,794088.5318111219,"[658507.5217255575, 929669.5418966862]"
2025-11-01,790137.7576216749,"[646695.2578033191, 933580.2574400307]"
2025-12-01,788770.7492687714,"[638362.5549875946, 939178.9435499482]"
2026-01-01,782612.5715871586,"[625028.4180144776, 940196.7251598396]"
2026-02-01,782702.1786495164,"[618835.9527695572, 946568.4045294756]"
2026-03-01,776095.8776008037,"[605733.2707060152, 946458.4844955923]"
2026-04-01,775639.9335139364,"[599384.6093018979, 951895.2577259748]"
2026-05-01,770521.9278588572,"[588428.7950705315, 952615.0606471829]"
2026-06-01,767940.1058745162,"[580195.4746113454, 955684.7371376869]"
2026-07-01,765304.8993825057,"[572282.0476557141, 958327.7511092973]"
2026-08-01,760323.470479244,"[561877.618487916, 958769.3224705721]"
2026-09-01,759700.7734590581,"[556375.2979737974, 963026.2489443189]"
2026-10-01,753443.8865044501,"[544990.7670218006, 961897.0059870996]"
2026-11-01,753241.7363050499,"[540141.7037620043, 966341.7688480954]"
2026-12-01,747516.7323852993,"[529650.5352095894, 965382.9295610092]"
2027-01-01,745990.4240948291,"[523597.31660211564, 968383.5315875426]"
2027-02-01,742217.3722621695,"[515424.20196000295, 969010.542564336]"
