date,prediction,confidence_interval
2025-03-01,187388.12589681323,"[91373.12253349525, 283403.1292601312]"
2025-04-01,192941.13237037722,"[79971.34982554888, 305910.91491520556]"
2025-05-01,201870.13088040167,"[75343.76210160086, 328396.49965920247]"
2025-06-01,206124.4237038654,"[58136.86468367357, 354111.9827240573]"
2025-07-01,212256.79338799682,"[45708.35115631076, 378805.2356196829]"
2025-08-01,219537.8113915142,"[35207.21576313244, 403868.40701989597]"
2025-09-01,226422.790324715,"[23019.387746346707, 429826.1929030833]"
2025-10-01,233838.82204746042,"[11371.56115782223, 456306.0829370986]"
2025-11-01,241799.30844426376,"[176.24160113584367, 483422.3752873917]"
2025-12-01,250031.55028284882,"[-11188.356809409277, 511251.4573751069]"
2026-01-01,258658.35089129818,"[-22450.39490391701, 539767.0966865134]"
2026-02-01,267701.0562824235,"[-33583.556324095465, 568985.6688889425]"
2026-03-01,277114.4548251008,"[-44690.460419502866, 598919.3700697045]"
2026-04-01,286913.40960782155,"[-55741.37159122579, 629568.190806869]"
2026-05-01,297104.01266694925,"[-66727.02181580628, 660935.0471497048]"
2026-06-01,307679.1624411187,"[-77662.9677782405, 693021.2926604778]"
2026-07-01,318640.40621927654,"[-88545.56721251272, 725826.3796510658]"
2026-08-01,329989.06656860706,"[-99371.42105937877, 759349.5541965929]"
2026-09-01,341724.084482977,"[-110141.23705096019, 793589.4060169142]"
2026-10-01,353845.57167240157,"[-120852.88703226886, 828544.030377072]"
2026-11-01,366353.78064398037,"[-131503.72623651032, 864211.2875244711]"
2026-12-01,379248.5620116345,"[-142091.65682509157, 900588.7808483606]"
2027-01-01,392529.9125795774,"[-152614.11554703244, 937673.9407061873]"
2027-02-01,406197.87677024887,"[-163068.33940349484, 975464.0929439926]"
