date,prediction,confidence_interval
2025-03-01,143953.02136697748,"[65990.70507900084, 221915.3376549541]"
2025-04-01,144419.4260009179,"[66383.3581421617, 222455.49385967414]"
2025-05-01,145048.63884010632,"[66939.62345625974, 223157.6542239529]"
2025-06-01,145515.07900708047,"[67332.4505973086, 223697.70741685232]"
2025-07-01,146144.25632099024,"[67888.81684571572, 224399.69579626477]"
2025-08-01,146610.73200548958,"[68281.81727240805, 224939.64673857111]"
2025-09-01,147239.87380962592,"[68838.28370655698, 225641.46391269486]"
2025-10-01,147706.38499614867,"[69231.45663388706, 226181.31335841026]"
2025-11-01,148335.49130600994,"[69788.02251230633, 226882.96009971353]"
2025-12-01,148802.0379790611,"[70181.3671624135, 227422.70879570872]"
2026-01-01,149431.10881013892,"[70738.03175063529, 228124.18586964253]"
2026-02-01,149897.69095423026,"[71131.54735271142, 228663.83455574908]"
2026-03-01,150526.7263220095,"[71688.30992318114, 229365.14272083784]"
2026-04-01,150993.3439216595,"[72081.99571337987, 229904.69212993915]"
2026-05-01,151622.34384161825,"[72638.85554536694, 230605.83213786955]"
2026-06-01,152088.99688135224,"[73032.71076671437, 231145.28299599013]"
2026-07-01,152717.96136896184,"[73589.6671462248, 231846.25559169886]"
2026-08-01,153184.64983331182,"[73983.69104853149, 232385.60861809214]"
2026-09-01,153813.57890403687,"[74540.74326822165, 233086.4145398521]"
2026-10-01,154280.30277754163,"[74934.93510799632, 233625.67044708692]"
2026-11-01,154909.19644683998,"[75492.08246708817, 234326.31042659178]"
2026-12-01,155375.95571404506,"[75886.44150745275, 234865.46992063738]"
2027-01-01,156004.81399736783,"[76443.68331165054, 235565.94468308514]"
2027-02-01,156471.60864282548,"[76838.20882225625, 236105.0084633947]"
