date,prediction,confidence_interval
2025-03-01,326913.0904199769,"[271826.42957787134, 381999.7512620825]"
2025-04-01,309391.7535978381,"[254013.1673904886, 364770.3398051876]"
2025-05-01,329922.44202556345,"[272765.44413980143, 387079.43991132546]"
2025-06-01,314725.8217421779,"[257500.8795511718, 371950.763933184]"
2025-07-01,331874.9508539853,"[273176.0160366892, 390573.88567128143]"
2025-08-01,319739.8281796722,"[260920.51964197366, 378559.1367173707]"
2025-09-01,334117.227821517,"[274047.9362874326, 394186.51935560134]"
2025-10-01,324491.4927854281,"[264249.4480667776, 384733.53750407865]"
2025-11-01,336597.0161900305,"[275273.0933035456, 397920.9390765154]"
2025-12-01,329028.1262418529,"[267483.0367771561, 390573.21570654964]"
2026-01-01,339271.4831928813,"[276772.77533591207, 401770.1910498505]"
2026-02-01,333388.5072307383,"[270625.94858161, 396151.0658798666]"
2026-03-01,342105.52051745454,"[278488.63085106167, 405722.4101838474]"
2026-04-01,337604.4210928361,"[273687.2590816368, 401521.58310403547]"
2026-05-01,345070.35127840727,"[280376.72424353566, 409763.9783132789]"
2026-06-01,341701.9210058209,"[276677.71722540434, 406726.1247862375]"
2026-07-01,348142.3882091243,"[282403.5187832548, 413881.2576349939]"
2026-08-01,345702.36172162805,"[279608.2344784395, 411796.4889648166]"
2026-09-01,351302.29776673834,"[284543.1026299753, 418061.4929035014]"
2026-10-01,349623.2468797723,"[282489.0908073515, 416757.40295219305]"
2026-11-01,354534.23301629483,"[286775.23793326085, 422293.2280993288]"
2026-12-01,353478.9235163225,"[285329.5595113676, 421628.28752127744]"
2027-01-01,357825.2048564596,"[289083.9662643973, 426566.44344852184]"
2027-02-01,357281.1513252434,"[288137.7737465331, 426424.52890395373]"
