date,prediction,confidence_interval
2025-03-01,209273.98996241487,"[75318.51090681995, 343229.4690180098]"
2025-04-01,219864.68271817104,"[84736.25171150727, 354993.1137248348]"
2025-05-01,214432.45790645803,"[78901.1312740019, 349963.78453891416]"
2025-06-01,225496.3326840887,"[88595.93547376024, 362396.72989441716]"
2025-07-01,218220.43265636987,"[80482.8567399322, 355958.00857280754]"
2025-08-01,228877.74314980902,"[89826.3127885965, 367929.17351102154]"
2025-09-01,222092.52228659892,"[82225.18466721062, 361959.8599059872]"
2025-10-01,232351.6193502496,"[91201.20395489346, 373502.0347456057]"
2025-11-01,225950.52923454464,"[83986.09865602729, 367914.959813062]"
2025-12-01,235831.2581209167,"[92613.97380391642, 379048.54243791697]"
2026-01-01,229800.18510742343,"[85771.59519511985, 373828.775019727]"
2026-02-01,239319.41014514718,"[94066.43609953017, 384572.38419076416]"
2026-03-01,233641.61683309852,"[87580.12838780184, 379703.10527839523]"
2026-04-01,242815.58444312797,"[95556.62409659129, 390074.5447896647]"
2026-05-01,237475.20522345483,"[89410.6227339723, 385539.78771293734]"
2026-06-01,246319.4245129731,"[97082.83952574595, 395556.0095002003]"
2026-07-01,241301.3021119977,"[91262.08061465013, 391340.5236093453]"
2026-08-01,249830.58586109744,"[98643.49499640753, 401017.67672578734]"
2026-09-01,245120.24404902855,"[93133.5890160802, 397106.8990819769]"
2026-10-01,253348.73960997706,"[100237.10859460401, 406460.3706253501]"
2026-11-01,248932.35244426611,"[95024.30971853499, 402840.39516999724]"
2026-12-01,256873.57165085137,"[101862.29435174269, 411884.8489499601]"
2027-01-01,252737.9342701758,"[96933.47139164858, 408542.39714870305]"
2027-02-01,260404.78198533895,"[103517.75394348337, 417291.81002719456]"
