date,prediction,confidence_interval
2025-03-01,230219.18777889787,"[181166.11196823567, 279272.26358956005]"
2025-04-01,225896.44422726508,"[170845.93959294667, 280946.9488615835]"
2025-05-01,228591.93182031866,"[170379.93986531437, 286803.92377532297]"
2025-06-01,230409.7348455767,"[164614.35118604364, 296205.11850510974]"
2025-07-01,230101.23423265797,"[158938.04323940832, 301264.4252259076]"
2025-08-01,231155.6836459694,"[155867.6025385426, 306443.7647533962]"
2025-09-01,232316.1162627449,"[152293.65468377515, 312338.57784171466]"
2025-10-01,232927.99772492558,"[148538.62755442742, 317317.3678954237]"
2025-11-01,233770.39252913275,"[145458.31552529326, 322082.4695329722]"
2025-12-01,234699.54485524178,"[142491.04556456802, 326908.04414591554]"
2026-01-01,235502.15154113612,"[139544.99850336113, 331459.3045789111]"
2026-02-01,236335.23517814057,"[136823.12282090666, 335847.34753537446]"
2026-03-01,237199.47000947292,"[134233.65693762526, 340165.2830813206]"
2026-04-01,238037.31824056967,"[131722.19148156221, 344352.4449995771]"
2026-05-01,238876.76293228197,"[129325.70652261052, 348427.81934195344]"
2026-06-01,239725.03763776534,"[127028.33061848162, 352421.7446570491]"
2026-07-01,240568.3986090423,"[124808.92681054672, 356327.8704075379]"
2026-08-01,241410.95333423742,"[122669.8149277845, 360152.09174069035]"
2026-09-01,242255.69380134175,"[120605.81925124039, 363905.5683514431]"
2026-10-01,243099.65565264696,"[118608.3124447545, 367590.9988605394]"
2026-11-01,243943.20318490727,"[116674.18508277056, 371212.221287044]"
2026-12-01,244787.2376548027,"[114799.94527305548, 374774.53003654996]"
2027-01-01,245631.18417361667,"[112981.15156618622, 378281.2167810471]"
2027-02-01,246474.99643947132,"[111214.6874800139, 381735.3053989287]"
