date,prediction,confidence_interval
2025-03-01,240685.25531090214,"[104145.25852575051, 377225.2520960538]"
2025-04-01,227874.25510033127,"[70212.0258234063, 385536.48437725625]"
2025-05-01,226009.8746761586,"[48847.50751695878, 403172.24183535844]"
2025-06-01,221288.6281380946,"[32879.301365995285, 409697.9549101939]"
2025-07-01,218353.483740747,"[21732.858090745838, 414974.1093907482]"
2025-08-01,215478.27636481647,"[13244.263980035059, 417712.28874959785]"
2025-09-01,213160.09028105706,"[6913.097512400243, 419407.08304971387]"
2025-10-01,211140.99462321802,"[2043.4191662992816, 420238.57008013676]"
2025-11-01,209437.2727449209,"[-1706.4767184806115, 420581.0222083224]"
2025-12-01,207981.08553228245,"[-4633.105813103553, 420595.27687766845]"
2026-01-01,206742.9618901282,"[-6931.417242194759, 420417.3410224512]"
2026-02-01,205688.00641740923,"[-8751.769180095493, 420127.782014914]"
2026-03-01,204789.89828628552,"[-10203.196683646267, 419782.99325621733]"
2026-04-01,204025.04898441822,"[-11368.369370190107, 419418.4673390265]"
2026-05-01,203373.7791017781,"[-12309.456621873425, 419057.01482542965]"
2026-06-01,202819.1899349194,"[-13073.952408658515, 418712.33227849734]"
2026-07-01,202346.9404500971,"[-13698.280703317345, 418392.16160351154]"
2026-08-01,201944.80183035677,"[-14210.62679009579, 418100.23045080935]"
2026-09-01,201602.36665199508,"[-14632.939807286923, 417837.67311127705]"
2026-10-01,201310.77058965218,"[-14982.437937009585, 417603.979116314]"
2026-11-01,201062.46605232195,"[-15272.718370231276, 417397.6504748752]"
2026-12-01,200851.02575029383,"[-15514.590879380412, 417216.6423799681]"
2027-01-01,200670.976698371,"[-15716.704067547456, 417058.65746428946]"
2027-02-01,200517.65842271975,"[-15886.019945558568, 416921.33679099806]"
