date,prediction,confidence_interval
2025-03-01,364614.1645017851,"[296748.5741412485, 432479.7548623218]"
2025-04-01,368875.44569507136,"[292010.74761199474, 445740.143778148]"
2025-05-01,369550.45080103003,"[281848.96756349574, 457251.93403856433]"
2025-06-01,370200.8383510152,"[269883.33593559975, 470518.3407664306]"
2025-07-01,372403.0569014446,"[260722.79501580654, 484083.3187870827]"
2025-08-01,374751.6551888267,"[250968.71897582695, 498534.5914018265]"
2025-09-01,377677.3604805592,"[241054.71088945563, 514300.0100716627]"
2025-10-01,381244.89059452,"[231024.52463040192, 531465.2565586381]"
2025-11-01,385366.07079149503,"[220497.56535968263, 550234.5762233074]"
2025-12-01,390094.92873117223,"[209406.33184750768, 570783.5256148367]"
2026-01-01,395442.95307880547,"[197633.26620078456, 593252.6399568263]"
2026-02-01,401416.8131620518,"[185052.0448208031, 617781.5815033005]"
2026-03-01,408033.2991532562,"[171569.25208058156, 644497.3462259308]"
2026-04-01,415305.0710478395,"[157093.93127491648, 673516.2108207624]"
2026-05-01,423244.99127876415,"[141543.05125465896, 704946.9313028693]"
2026-06-01,431866.5733090847,"[124842.52998489869, 738890.6166332706]"
2026-07-01,441182.97172481805,"[106924.11754031619, 775441.8259093199]"
2026-08-01,451207.40023944346,"[87725.26787360158, 814689.5326052853]"
2026-09-01,461953.1085872166,"[67188.42302044877, 856717.7941539844]"
2026-10-01,473433.3179294535,"[45260.189660162665, 901606.4461987444]"
2026-11-01,485661.25701098656,"[21890.817920937377, 949431.6961010357]"
2026-12-01,498650.15602184087,"[-2966.311013925413, 1000266.6230576071]"
2027-01-01,512413.2430578689,"[-29355.126491426025, 1054181.6126071638]"
2027-02-01,526963.7469880478,"[-57317.22864494799, 1111244.7226210437]"
