date,prediction,confidence_interval
2025-03-01,414734.64216793096,"[332227.52524931025, 497241.75908655167]"
2025-04-01,422494.17720278254,"[330626.04381001723, 514362.31059554784]"
2025-05-01,450167.48104087217,"[355434.15354899573, 544900.8085327486]"
2025-06-01,435716.34645357233,"[327782.22082589316, 543650.4720812514]"
2025-07-01,433405.50254595,"[316371.0176171166, 550439.9874747834]"
2025-08-01,444691.73635391373,"[322503.1796319663, 566880.2930758612]"
2025-09-01,443334.8977660351,"[313691.63145532715, 572978.1640767431]"
2025-10-01,442041.3725926003,"[305167.85628916294, 578914.8888960376]"
2025-11-01,446655.9873676897,"[304128.0727620264, 589183.901973353]"
2025-12-01,448225.8128335962,"[299751.6477755152, 596699.9778916772]"
2026-01-01,448573.46722805843,"[294107.85292740096, 603039.0815287159]"
2026-02-01,450975.43869433296,"[291104.31898921076, 610846.5583994552]"
2026-03-01,452903.2984006892,"[287745.211763822, 618061.3850375564]"
2026-04-01,454107.8692140971,"[283696.9150241007, 624518.8234040935]"
2026-05-01,455904.3139472796,"[280488.2352997572, 631320.392594802]"
2026-06-01,457738.5568296683,"[277469.0002323936, 638008.113426943]"
2026-07-01,459275.4138084385,"[274233.08956616, 644317.738050717]"
2026-08-01,460946.2729449317,"[271268.7381140832, 650623.8077757802]"
2026-09-01,462688.47729993804,"[268498.46836816904, 656878.486231707]"
2026-10-01,464331.3107750734,"[265717.42895524355, 662945.1925949033]"
2026-11-01,465991.33305178426,"[263051.47791488096, 668931.1881886875]"
2026-12-01,467689.2737554825,"[260519.27557849197, 674859.271932473]"
2027-01-01,469359.7876361377,"[258040.8765750494, 680678.698697226]"
2027-02-01,471026.48168827535,"[255637.78514120882, 686415.1782353419]"
