date,prediction,confidence_interval
2025-03-01,178497.09342171293,"[137163.02905882744, 219831.1577845984]"
2025-04-01,181484.97383118386,"[128774.35938476495, 234195.58827760277]"
2025-05-01,183410.54007580376,"[118397.41467589655, 248423.66547571096]"
2025-06-01,186325.08585282325,"[108358.73355223775, 264291.43815340876]"
2025-07-01,187970.23505532535,"[96998.48334768941, 278941.98676296126]"
2025-08-01,190777.90911640687,"[84560.56054577003, 296995.2576870437]"
2025-09-01,192515.4893595199,"[70295.20152820011, 314735.7771908397]"
2025-10-01,195468.69383978346,"[54435.25319089464, 336502.13448867225]"
2025-11-01,197582.6904325814,"[36362.53957924954, 358802.84128591325]"
2025-12-01,200961.27010890015,"[16373.094297046278, 385549.445920754]"
2026-01-01,203727.36019819725,"[-6091.060715998581, 413545.7811123931]"
2026-02-01,207813.5141241701,"[-30691.815368439362, 446318.84361677954]"
2026-03-01,211506.8663346735,"[-57947.63628984845, 480961.36895919545]"
2026-04-01,216582.73645908944,"[-87494.20881952828, 520659.6817377072]"
2026-05-01,221478.74353168905,"[-119823.23865008226, 562780.7257134604]"
2026-06-01,227826.20452884719,"[-154555.04023222486, 610207.4492899192]"
2026-07-01,234200.5314144373,"[-192161.61560904255, 660562.6784379171]"
2026-08-01,242101.1923602388,"[-232255.95159512822, 716458.3363156058]"
2026-09-01,250229.75974873555,"[-275293.2432384017, 775752.7627358729]"
2026-10-01,259964.9845153453,"[-320885.37277143553, 840815.3418021261]"
2026-11-01,270123.94787637645,"[-369471.21826259035, 909719.1140153432]"
2026-12-01,281974.8756375289,"[-420666.4100108516, 984616.1612859094]"
2027-01-01,294440.60545947956,"[-474892.8896806902, 1063774.1005996494]"
2027-02-01,308688.16964258626,"[-531773.7805917816, 1149150.1198769542]"
