date,prediction,confidence_interval
2025-03-01,209594.65648854963,"[155513.3238508955, 263675.98912620376]"
2025-04-01,209289.31297709924,"[132806.7588897181, 285771.8670644804]"
2025-05-01,208983.96946564884,"[115312.35359619895, 302655.58533509873]"
2025-06-01,208678.62595419845,"[100515.96067889023, 316841.29122950666]"
2025-07-01,208373.28244274805,"[87443.74635117546, 329302.8185343206]"
2025-08-01,208067.93893129766,"[75596.2693593188, 340539.6085032765]"
2025-09-01,207762.59541984726,"[64676.83868965367, 350848.35215004085]"
2025-10-01,207457.25190839687,"[54492.143733634584, 360422.3600831592]"
2025-11-01,207151.90839694647,"[44907.91048398416, 369395.9063099088]"
2025-12-01,206846.56488549607,"[35826.37485330747, 377866.7549176847]"
2026-01-01,206541.22137404568,"[27173.73285254551, 385908.70989554585]"
2026-02-01,206235.87786259528,"[18892.646123695537, 393579.10960149503]"
2026-03-01,205930.5343511449,"[10937.516480658844, 400923.55222163093]"
2026-04-01,205625.1908396945,"[3271.373089437373, 407979.0085899516]"
2026-05-01,205319.8473282441,"[-4136.253318093892, 414775.9479745821]"
2026-06-01,205014.5038167937,"[-11310.826733822701, 421339.8343674101]"
2026-07-01,204709.1603053433,"[-18273.886533868324, 427692.20714455494]"
2026-08-01,204403.8167938929,"[-25043.84546825051, 433851.47905603633]"
2026-09-01,204098.47328244252,"[-31636.59041709971, 439833.53698198474]"
2026-10-01,203793.12977099212,"[-38065.94241215303, 445652.2019541373]"
2026-11-01,203487.78625954172,"[-44344.01423659397, 451319.5867556774]"
2026-12-01,203182.44274809133,"[-50481.492167814664, 456846.37766399735]"
2027-01-01,202877.09923664093,"[-56487.86064978168, 462242.0591230636]"
2027-02-01,202571.75572519054,"[-62371.58341876717, 467515.0948691482]"
