date,prediction,confidence_interval
2025-03-01,218084.5037236489,"[151839.68866419647, 284329.31878310133]"
2025-04-01,227502.2505518483,"[159884.9183679579, 295119.5827357387]"
2025-05-01,224669.3601670333,"[157003.36581752374, 292335.35451654287]"
2025-06-01,224143.2349426745,"[155465.55366828677, 292820.9162170622]"
2025-07-01,225690.74522484164,"[155627.06081344833, 295754.42963623494]"
2025-08-01,226846.33441247063,"[155663.7685101769, 298028.90031476435]"
2025-09-01,227648.34983429985,"[155382.00058577547, 299914.6990828242]"
2025-10-01,228514.37709873915,"[155097.68490930658, 301931.0692881717]"
2025-11-01,229438.1140213883,"[154840.58438499793, 304035.6436577786]"
2025-12-01,230348.83518408504,"[154557.83034411544, 306139.84002405463]"
2026-01-01,231247.5753520639,"[154244.61687554664, 308250.53382858116]"
2026-02-01,232146.3130954658,"[153910.27195936628, 310382.3542315653]"
2026-03-01,233044.878683219,"[153555.98159312303, 312533.775773315]"
2026-04-01,233941.2433402892,"[153180.5298560679, 314701.9568245105]"
2026-05-01,234835.43487796903,"[152784.07189837997, 316886.7978575581]"
2026-06-01,235727.7969034612,"[152367.16378749223, 319088.4300194301]"
2026-07-01,236618.3248648955,"[151930.12248484365, 321306.5272449473]"
2026-08-01,237506.9605666812,"[151473.1897399379, 323540.7313934245]"
2026-09-01,238393.7047529206,"[150996.6404370779, 325790.7690687633]"
2026-10-01,239278.5672799919,"[150500.75474496078, 328056.37981502304]"
2026-11-01,240161.54802641337,"[149985.79968067602, 330337.2963721507]"
2026-12-01,241042.64532284767,"[149452.03379631415, 332633.2568493812]"
2027-01-01,241921.8591891002,"[148899.7103069406, 334944.0080712598]"
2027-02-01,242799.1899078999,"[148329.07632754854, 337269.3034882513]"
