date,prediction,confidence_interval
2025-03-01,167018.5451773213,"[117111.55567170665, 216925.53468293595]"
2025-04-01,153496.0145782257,"[101396.32734637355, 205595.70181007785]"
2025-05-01,161387.28747948934,"[109066.90035227076, 213707.67460670794]"
2025-06-01,150993.1668494611,"[97054.84596172377, 204931.48773719842]"
2025-07-01,156799.29738279778,"[102646.86578787895, 210951.72897771662]"
2025-08-01,148633.40221179376,"[93355.26163165769, 203911.54279192982]"
2025-09-01,152871.29124609128,"[97394.86259907181, 208347.71989311074]"
2025-10-01,146434.6812984611,"[90161.58755258136, 202707.77504434084]"
2025-11-01,149496.60340553452,"[93045.9124666288, 205947.29434444025]"
2025-12-01,144404.76282786217,"[87382.50813233337, 201427.01752339097]"
2026-01-01,146588.02810964617,"[89410.64511831725, 203765.4111009751]"
2026-02-01,142544.29513800686,"[84952.15305115393, 200136.43722485978]"
2026-03-01,144073.89496193646,"[86348.84830569298, 201798.94161817993]"
2026-04-01,140849.10052819026,"[82820.15531363554, 198878.045742745]"
2026-05-01,141894.9917384405,"[83753.90908796081, 200036.07438892018]"
2026-06-01,139311.85150909433,"[80946.23581798727, 197677.46720020138]"
2026-07-01,140002.14406826132,"[81543.06784416745, 198461.22029235517]"
2026-08-01,137923.29016848942,"[79297.11508610175, 196549.46525087708]"
2026-09-01,138354.30524983437,"[79651.01090445645, 197057.59959521232]"
2026-10-01,136673.10535234096,"[77844.66815035426, 195501.54255432767]"
2026-11-01,136917.04308195852,"[78025.49238857659, 195808.59377534044]"
2026-12-01,135550.5545484869,"[76564.76443116543, 194536.34466580837]"
2027-01-01,135661.33639645105,"[76624.24686753558, 194698.42592536652]"
2027-02-01,134544.89618486466,"[75436.49621173581, 193653.2961579935]"
