date,prediction,confidence_interval
2025-03-01,589319.1922439989,"[561261.311062691, 617377.0734253067]"
2025-04-01,589641.2493573343,"[553023.53528975, 626258.9634249187]"
2025-05-01,588287.1095192777,"[544484.2763439505, 632089.9426946049]"
2025-06-01,587200.9833660112,"[537364.2983620137, 637037.6683700087]"
2025-07-01,586082.3044071152,"[530930.2835121751, 641234.3253020553]"
2025-08-01,584977.4686839767,"[525043.6600962277, 644911.2772717257]"
2025-09-01,583879.2446785482,"[519576.19091381785, 648182.2984432785]"
2025-10-01,582788.6901853391,"[514449.1621432839, 651128.2182273943]"
2025-11-01,581705.5821786739,"[509605.7148200625, 653805.4495372854]"
2025-12-01,580629.8960095028,"[505003.96559617855, 656255.8264228271]"
2026-01-01,579561.5767717813,"[500611.8394900781, 658511.3140534845]"
2026-02-01,578500.5746382631,"[496404.1256815625, 660597.0235949636]"
2026-03-01,577446.839396098,"[492360.56058059825, 662533.1182115978]"
2026-04-01,576400.3212886975,"[488464.55387700425, 664336.0887003909]"
2026-05-01,575360.9708828955,"[484702.3081718056, 666019.6335939855]"
2026-06-01,574328.7390867821,"[481062.19350768515, 667595.2846658791]"
2026-07-01,573303.5771442681,"[477534.2918077804, 669072.8624807558]"
2026-08-01,572285.4366332632,"[474110.05794426834, 670460.8153222582]"
2026-09-01,571274.2694633149,"[470782.0628403287, 671766.476086301]"
2026-10-01,570270.0278733482,"[467543.795531958, 672996.2602147384]"
2026-11-01,569272.664429408,"[464389.50842057634, 674155.8204382397]"
2026-12-01,568282.1320224191,"[461314.09470616607, 675250.1693386722]"
2027-01-01,567298.3838659604,"[458312.99016465724, 676283.7775672636]"
2027-02-01,566321.3734940558,"[455382.09359557333, 677260.6533925383]"
