date,prediction,confidence_interval
2025-03-01,221074.36873241703,"[187702.92803623615, 254445.80942859792]"
2025-04-01,228879.57075808,"[194622.8758413379, 263136.2656748221]"
2025-05-01,224829.11843759404,"[187583.66890340892, 262074.56797177915]"
2025-06-01,224205.55584209657,"[185001.50785394615, 263409.60383024695]"
2025-07-01,222648.9284010965,"[181498.1911428226, 263799.66565937037]"
2025-08-01,221401.6583740177,"[178528.217481653, 264275.0992663824]"
2025-09-01,220108.30985714754,"[175646.46920794714, 264570.15050634794]"
2025-10-01,218869.208006688,"[172951.42481445882, 264786.99119891715]"
2025-11-01,217654.71396896953,"[170393.33924342605, 264916.088694513]"
2025-12-01,216472.28220090445,"[167968.20740119496, 264976.35700061393]"
2026-01-01,215318.812466438,"[165661.9813192175, 264975.6436136585]"
2026-02-01,214194.2391735505,"[163465.70639194455, 264922.77195515647]"
2026-03-01,213097.6548770889,"[161370.76225359557, 264824.54750058224]"
2026-04-01,212028.4153264281,"[159369.86346190242, 264686.9671909538]"
2026-05-01,210985.82371315215,"[157456.51288076525, 264515.13454553904]"
2026-06-01,209969.220167508,"[155624.95492422022, 264313.4854107958]"
2026-07-01,208977.9556855402,"[153870.03128857023, 264085.8800825101]"
2026-08-01,208011.39903204347,"[152187.09720893862, 263835.7008551483]"
2026-09-01,207068.93425159113,"[150571.9452564242, 263565.92324675806]"
2026-10-01,206149.96087125238,"[149020.74588959265, 263279.1758529121]"
2026-11-01,205253.89334823942,"[147529.99787866342, 262977.7888178154]"
2026-12-01,204380.1607452387,"[146096.48739389595, 262663.83409658144]"
2027-01-01,203528.20635282254,"[144717.25372163672, 262339.15898400836]"
2027-02-01,202697.48733867396,"[143389.5603741576, 262005.41430319034]"
