date,prediction,confidence_interval
2025-03-01,143427.09731561688,"[109274.96022639383, 177579.23440483992]"
2025-04-01,149517.75406783537,"[106886.79895111782, 192148.70918455292]"
2025-05-01,156317.01055064914,"[106705.37545569602, 205928.64564560226]"
2025-06-01,160685.48612256037,"[102425.12782125585, 218945.84442386488]"
2025-07-01,166036.79192113402,"[99477.57770692732, 232596.00613534072]"
2025-08-01,171773.64379581288,"[97014.28545280635, 246533.00213881943]"
2025-09-01,177444.03119448846,"[94246.92213125947, 260641.14025771746]"
2025-10-01,183323.85948147092,"[91559.58122003253, 275088.1377429093]"
2025-11-01,189403.3757736367,"[88938.18342386324, 289868.56812341016]"
2025-12-01,195632.42248595422,"[86297.45857961019, 304967.3863922983]"
2026-01-01,202030.6331192294,"[83658.63473090668, 320402.6315075521]"
2026-02-01,208600.80946943286,"[81023.49246553634, 336178.1264733294]"
2026-03-01,215338.14599063527,"[78383.31716144871, 352292.97481982183]"
2026-04-01,222243.79782495444,"[75738.79970302872, 368748.7959468801]"
2026-05-01,229318.29013723473,"[73090.75001929846, 385545.830255171]"
2026-06-01,236561.21276213415,"[70439.1446244175, 402683.28089985077]"
2026-07-01,243972.6087210574,"[67784.94737663347, 420160.2700654813]"
2026-08-01,251552.54249185772,"[65129.44594325061, 437975.6390404648]"
2026-09-01,259300.98291269888,"[62473.98774932249, 456127.97807607526]"
2026-10-01,267217.9284765175,"[59820.091785895755, 474615.76516713924]"
2026-11-01,275303.38577085495,"[57169.38005172156, 493437.3914899883]"
2026-12-01,283557.35275879543,"[54523.52089940134, 512591.1846181895]"
2027-01-01,291979.8288807883,"[51884.2178944372, 532075.4398671393]"
2027-02-01,300570.81473048305,"[49253.19146167036, 551888.4379992958]"
