date,prediction,confidence_interval
2025-03-01,180873.7500000028,"[-4264695.239831231, 4626442.739831236]"
2025-04-01,284695.0000000051,"[-13773428.503280608, 14342818.50328062]"
2025-05-01,431987.50000000745,"[-29719328.35178426, 30583303.351784274]"
2025-06-01,623275.0000000098,"[-53092739.48291713, 54339289.482917145]"
2025-07-01,859081.2500000121,"[-84768624.73166518, 86486787.23166521]"
2025-08-01,1139930.0000000144,"[-125539286.60003836, 127819146.6000384]"
2025-09-01,1466345.0000000168,"[-176133997.04579982, 179066687.04579988]"
2025-10-01,1838850.000000019,"[-237231930.09778914, 240909630.0977892]"
2025-11-01,2257968.7500000214,"[-309471212.2298167, 313987149.7298167]"
2025-12-01,2724225.0000000237,"[-393455545.1744477, 398903995.1744477]"
2026-01-01,3238142.500000026,"[-489759223.25960183, 496235508.25960183]"
2026-02-01,3800245.0000000284,"[-598931041.3391465, 606531531.3391465]"
2026-03-01,4411056.250000031,"[-721497408.4909863, 730319520.9909863]"
2026-04-01,5071100.0000000335,"[-857964876.2782426, 868107076.2782426]"
2026-05-01,5780900.000000035,"[-1008822224.7807025, 1020384024.7807025]"
2026-06-01,6540980.000000037,"[-1174542207.5368261, 1187624167.5368261]"
2026-07-01,7351863.750000039,"[-1355583028.638227, 1370286756.138227]"
2026-08-01,8214075.000000041,"[-1552389606.1774082, 1568817756.1774082]"
2026-09-01,9128137.500000043,"[-1765394662.9253364, 1783650937.9253364]"
2026-10-01,10094575.000000045,"[-1995019675.5855048, 2015208825.5855048]"
2026-11-01,11113911.250000047,"[-2241675707.0219364, 2263903529.5219364]"
2026-12-01,12186670.000000048,"[-2505764140.7032094, 2530137480.7032094]"
2027-01-01,13313375.00000005,"[-2787677332.720521, 2814304082.720521]"
2027-02-01,14494550.000000052,"[-3087799193.7705865, 3116788293.7705865]"
