date,prediction,confidence_interval
2025-03-01,643245.8311793748,"[531980.7500169293, 754510.9123418203]"
2025-04-01,650196.4851543145,"[517470.9857843078, 782921.9845243213]"
2025-05-01,656542.2301145865,"[496321.2142789765, 816763.2459501966]"
2025-06-01,662118.1793505565,"[472856.5948288578, 851379.7638722551]"
2025-07-01,665978.582923502,"[445187.23763716186, 886769.9282098421]"
2025-08-01,668594.0461836131,"[412133.6198382329, 925054.4725289934]"
2025-09-01,669920.1416591638,"[373020.6062521176, 966819.67706621]"
2025-10-01,670004.6348054159,"[327131.14085475815, 1012878.1287560735]"
2025-11-01,668900.7466301393,"[273886.7799159154, 1063914.7133443633]"
2025-12-01,666651.7202026489,"[212785.26101816952, 1120518.1793871282]"
2026-01-01,663304.4307133633,"[143386.55376640888, 1183222.3076603177]"
2026-02-01,658905.1023068073,"[65303.08903405501, 1252507.1155795595]"
2026-03-01,653499.9210152404,"[-21812.323702588095, 1328812.1657330687]"
2026-04-01,647135.1431633399,"[-118274.82408512139, 1412545.1104118014]"
2026-05-01,639856.9994613274,"[-224374.2626880256, 1504088.2616106805]"
2026-06-01,631711.725216949,"[-340380.3871301464, 1603803.8375640444]"
2026-07-01,622745.556004178,"[-466546.736392702, 1712037.848401058]"
2026-08-01,613004.7269017937,"[-603113.574035046, 1829123.0278386334]"
2026-09-01,602535.4731692136,"[-750310.0898156993, 1955381.0361541265]"
2026-10-01,591384.0300333886,"[-908356.0624355893, 2091124.1225023665]"
2026-11-01,579596.6327194106,"[-1077463.1276558903, 2236656.3930947115]"
2026-12-01,567219.5164558591,"[-1257835.7579320385, 2392274.790843757]"
2027-01-01,554298.9164700406,"[-1449672.0310311497, 2558269.8639712306]"
2027-02-01,540881.0679894903,"[-1653164.2434379687, 2734926.3794169496]"
