date,prediction,confidence_interval
2025-03-01,299599.0163799631,"[285077.0010176277, 314121.03174229845]"
2025-04-01,302294.5897175744,"[280654.8698144729, 323934.3096206759]"
2025-05-01,302038.7669231215,"[274857.7426514599, 329219.7911947832]"
2025-06-01,302701.7533960402,"[271190.0448520405, 334213.4619400399]"
2025-07-01,304770.9617286858,"[269267.08108161384, 340274.8423757578]"
2025-08-01,303694.27375119284,"[264674.63891389663, 342713.90858848905]"
2025-09-01,306281.37899569166,"[264087.65472297807, 348475.10326840525]"
2025-10-01,306071.4825654031,"[260791.33667495803, 351351.6284558482]"
2025-11-01,306766.6920395711,"[258756.82914173094, 354776.5549374113]"
2025-12-01,308739.5716184048,"[258022.34032246182, 359456.80291434785]"
2026-01-01,307785.63212273,"[254548.7452333707, 361022.51901208935]"
2026-02-01,310270.1903815173,"[254661.68439385307, 365878.6963691815]"
2026-03-01,310104.7624085155,"[252123.95915044483, 368085.56566658616]"
2026-04-01,310828.75693725294,"[250688.27044432907, 370969.2434301768]"
2026-05-01,312712.2304587926,"[250391.03488711038, 375033.4260304748]"
2026-06-01,311873.31187304243,"[247485.47797827714, 376261.1457678077]"
2026-07-01,314260.94233240176,"[247896.28523994345, 380625.5994248601]"
2026-08-01,314138.5221522174,"[245777.3114271292, 382499.7328773056]"
2026-09-01,314888.16247054125,"[244682.86407033916, 385093.4608707434]"
2026-10-01,316688.6773391023,"[244608.10076416543, 388769.25391403923]"
2026-11-01,315957.52158941736,"[242083.20730166556, 389831.83587716916]"
2026-12-01,318253.5553441929,"[242648.0075843358, 393859.10310405]"
2027-01-01,318172.6857263878,"[240811.60118214568, 395533.7702706299]"
2027-02-01,318945.10786341084,"[239947.21744108628, 397942.9982857354]"
