date,prediction,confidence_interval
2025-03-01,410232.33162256586,"[391782.5284434824, 428682.1348016493]"
2025-04-01,415500.2184408003,"[383865.707858667, 447134.72902293364]"
2025-05-01,421120.2448487406,"[376974.85907198355, 465265.6306254976]"
2025-06-01,426890.55471850245,"[371529.85792776203, 482251.25150924287]"
2025-07-01,432856.5671651125,"[366502.3691875938, 499210.76514263113]"
2025-08-01,439008.0625532719,"[361721.49330155103, 516294.63180499274]"
2025-09-01,445347.34037616936,"[357047.86633682286, 533646.8144155159]"
2025-10-01,451873.8832309065,"[352415.49221987405, 551332.274241939]"
2025-11-01,458587.80753694504,"[347782.92469480424, 569392.6903790858]"
2025-12-01,465489.08709904883,"[343125.37423775677, 587852.7999603408]"
2026-01-01,472577.7278113389,"[338427.4129405297, 606728.042682148]"
2026-02-01,479853.7283475946,"[333679.63244058343, 626027.8242546058]"
2026-03-01,487317.0890062254,"[328876.5122758682, 645757.6657365826]"
2026-04-01,494967.8097200869,"[324015.13580394804, 665920.4836362258]"
2026-05-01,502805.8905042872,"[319094.35807894205, 686517.4229296324]"
2026-06-01,510831.3313554268,"[314114.25699322205, 707548.4057176316]"
2026-07-01,519044.13227427064,"[309075.76076444506, 729012.5037840962]"
2026-08-01,527444.2932606465,"[303980.3902968529, 750908.1962244401]"
2026-09-01,536031.8143145932,"[298830.0779357815, 773233.5506934049]"
2026-10-01,544806.695436102,"[293627.03823858453, 795986.3526336194]"
2026-11-01,553768.936625175,"[288373.674818395, 819164.198431955]"
2026-12-01,562918.5378818115,"[283072.51261888345, 842764.5631447395]"
2027-01-01,572255.4992060118,"[277726.14837110916, 866784.8500409144]"
2027-02-01,581779.8205977757,"[272337.2142096849, 891222.4269858666]"
