date,prediction,confidence_interval
2025-03-01,261178.86178861785,"[229957.65270777402, 292400.0708694617]"
2025-04-01,262357.72357723577,"[218204.2662614204, 306511.18089305115]"
2025-05-01,263536.5853658537,"[209459.86496410135, 317613.305767606]"
2025-06-01,264715.4471544716,"[202273.02899278392, 327157.86531615927]"
2025-07-01,265894.3089430895,"[196081.56309858896, 335707.05478759005]"
2025-08-01,267073.1707317074,"[190597.13933089143, 343549.2021325234]"
2025-09-01,268252.03252032533,"[185648.47766166105, 350855.5873789896]"
2025-10-01,269430.89430894324,"[181123.97967731248, 357737.808940574]"
2025-11-01,270609.75609756116,"[176946.12885502964, 364273.38334009267]"
2025-12-01,271788.61788617907,"[173058.48588638048, 370518.74988597765]"
2026-01-01,272967.479674797,"[169418.4436524012, 376516.51569719275]"
2026-02-01,274146.3414634149,"[165992.90065991023, 382299.78226691956]"
2026-03-01,275325.2032520328,"[162755.53302906844, 387894.8734749972]"
2026-04-01,276504.0650406507,"[159684.99745929774, 393323.1326220037]"
2026-05-01,277682.92682926863,"[156763.7040107007, 398602.1496478366]"
2026-06-01,278861.78861788654,"[153976.9522945112, 403746.6249412619]"
2026-07-01,280040.65040650446,"[151312.30760669205, 408768.99320631684]"
2026-08-01,281219.51219512237,"[148759.14024767623, 413679.8841425685]"
2026-09-01,282398.3739837403,"[146308.2787051876, 418488.46926229296]"
2026-10-01,283577.2357723582,"[143951.7440833571, 423202.7274613593]"
2026-11-01,284756.0975609761,"[141682.54365996658, 427829.65146198566]"
2026-12-01,285934.959349594,"[139494.50823606172, 432375.4104631263]"
2027-01-01,287113.82113821193,"[137382.16243236372, 436845.47984406014]"
2027-02-01,288292.68292682985,"[135340.62012519783, 441244.7457284619]"
