date,prediction,confidence_interval
2025-03-01,412950.9994487786,"[390062.32783013425, 435839.6710674229]"
2025-04-01,416873.0506133758,"[380985.7464199646, 452760.354806787]"
2025-05-01,421756.41498334974,"[374358.4860399527, 469154.34392674675]"
2025-06-01,426582.4138302016,"[367887.674587376, 485277.1530730272]"
2025-07-01,432446.9773054286,"[362033.9532981521, 502860.0013127051]"
2025-08-01,438362.2775053253,"[355471.70801611803, 521252.8469945326]"
2025-09-01,445427.4112814653,"[349024.3772165073, 541830.4453464233]"
2025-10-01,452655.15926243446,"[341531.4016144519, 563778.916910417]"
2025-11-01,461144.4287708684,"[333910.61971217376, 588378.237829563]"
2025-12-01,469908.2364367243,"[325059.66181116353, 614756.8110622851]"
2026-01-01,480045.2587672777,"[315938.372940799, 644152.1445937564]"
2026-02-01,490568.7437548862,"[305474.3277171466, 675663.1597926258]"
2026-03-01,502577.13663363474,"[294651.3945930083, 710502.8786742612]"
2026-04-01,515083.91665047576,"[282415.2129985417, 747752.6203024099]"
2026-05-01,529187.2978113288,"[269764.93413332046, 788609.6614893371]"
2026-06-01,543900.9905657545,"[255657.86607654998, 832144.115054959]"
2026-07-01,560322.977742715,"[241103.44428020885, 879542.5112052213]"
2026-08-01,577467.2009430914,"[225066.84271128633, 929867.5591748965]"
2026-09-01,596431.4118701608,"[208564.72840923484, 984298.0953310868]"
2026-10-01,616229.7832248567,"[190567.79168882582, 1041891.7747608876]"
2026-11-01,637959.8356360333,"[172098.00328715058, 1103821.6679849161]"
2026-12-01,660635.9728534205,"[152130.0850398835, 1169141.8606669577]"
2027-01-01,685355.4844827002,"[131690.058948986, 1239020.9100164145]"
2027-02-01,711133.0052711533,"[109755.71888216352, 1312510.291660143]"
