date,prediction,confidence_interval
2025-03-01,206694.70198675498,"[72987.91434237527, 340401.48963113467]"
2025-04-01,188834.10596026492,"[-110143.36026569706, 487811.5721862269]"
2025-05-01,171418.2119205298,"[-328866.7777308782, 671703.2015719379]"
2025-06-01,154447.01986754968,"[-577895.2169762482, 886789.2567113475]"
2025-07-01,137920.5298013245,"[-853675.5464413454, 1129516.6060439944]"
2025-08-01,121838.74172185433,"[-1153642.7205731925, 1397320.204016901]"
2025-09-01,106201.6556291391,"[-1475838.3908630772, 1688241.7021213556]"
2025-10-01,91009.27152317885,"[-1818705.6372222514, 2000724.180268609]"
2025-11-01,76261.58940397356,"[-2180968.780478792, 2333491.9592867387]"
2025-12-01,61958.60927152324,"[-2561558.009494025, 2685475.228037071]"
2026-01-01,48100.331125827885,"[-2959559.4836575366, 3055760.1459091925]"
2026-02-01,34686.7549668875,"[-3374180.8415256063, 3443554.3514593816]"
2026-03-01,21717.880794702076,"[-3804726.5060904394, 3848162.2676798436]"
2026-04-01,9193.708609271618,"[-4250579.482314388, 4268966.899532932]"
2026-05-01,-2885.7615894038736,"[-4711187.608020054, 4705416.084841246]"
2026-06-01,-14520.5298013244,"[-5186052.949985902, 5157011.890383254]"
2026-07-01,-25710.59602648996,"[-5674723.477582874, 5623302.285529895]"
2026-08-01,-36455.96026490055,"[-6176786.421741388, 6103874.501211586]"
2026-09-01,-46756.62251655617,"[-6691862.9048556695, 6598349.659822558]"
2026-10-01,-56612.58278145683,"[-7219603.54525338, 7106378.379690467]"
2026-11-01,-66023.84105960252,"[-7759684.820130328, 7627637.138011122]"
2026-12-01,-74990.39735099325,"[-8311806.026644286, 8161825.2319423]"
2027-01-01,-83512.25165562902,"[-8875686.720401293, 8708662.217090035]"
2027-02-01,-91589.40397350982,"[-9451064.539080089, 9267885.731133068]"
